,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
0,abl,Positive,35,34.0,27,24.0,0.5072463768115942,0.4927536231884058,0.5294117647058824,0.47058823529411764
2,abrupt,Negative,15,18.0,13,12.0,0.45454545454545453,0.5454545454545454,0.52,0.48
3,absorb,Positive,20,25.0,12,19.0,0.4444444444444444,0.5555555555555556,0.3870967741935484,0.6129032258064516
7,accept,Positive,8,8.0,6,7.0,0.5,0.5,0.46153846153846156,0.5384615384615384
8,achiev,Positive,39,52.0,26,31.0,0.42857142857142855,0.5714285714285714,0.45614035087719296,0.543859649122807
10,advers,Negative,73,48.0,44,35.0,0.6033057851239669,0.39669421487603307,0.5569620253164557,0.4430379746835443
22,bad,Negative,14,10.0,10,9.0,0.5833333333333334,0.4166666666666667,0.5263157894736842,0.47368421052631576
24,benefit,Positive,35,24.0,22,18.0,0.5932203389830508,0.4067796610169492,0.55,0.45
26,benign,Positive,18,38.0,13,21.0,0.32142857142857145,0.6785714285714286,0.38235294117647056,0.6176470588235294
27,better,Positive,46,49.0,35,35.0,0.4842105263157895,0.5157894736842106,0.5,0.5
30,buoyanc,Positive,13,10.0,11,9.0,0.5652173913043478,0.43478260869565216,0.55,0.45
31,burden,Negative,16,16.0,11,10.0,0.5,0.5,0.5238095238095238,0.47619047619047616
35,challeng,Negative,27,40.0,24,25.0,0.40298507462686567,0.5970149253731343,0.4897959183673469,0.5102040816326531
40,comfort,Positive,12,16.0,9,13.0,0.42857142857142855,0.5714285714285714,0.4090909090909091,0.5909090909090909
42,concern,Negative,166,197.0,64,73.0,0.4573002754820937,0.5426997245179064,0.46715328467153283,0.5328467153284672
44,confid,Positive,355,368.0,84,83.0,0.49100968188105115,0.5089903181189488,0.5029940119760479,0.49700598802395207
48,constrain,Negative,12,17.0,11,16.0,0.41379310344827586,0.5862068965517241,0.4074074074074074,0.5925925925925926
52,contain,Positive,48,47.0,35,31.0,0.5052631578947369,0.49473684210526314,0.5303030303030303,0.4696969696969697
53,contract,Negative,62,97.0,38,43.0,0.389937106918239,0.610062893081761,0.4691358024691358,0.5308641975308642
56,correct,Negative,29,40.0,20,24.0,0.42028985507246375,0.5797101449275363,0.45454545454545453,0.5454545454545454
57,costli,Negative,11,7.0,10,5.0,0.6111111111111112,0.3888888888888889,0.6666666666666666,0.3333333333333333
58,damag,Negative,16,23.0,10,19.0,0.41025641025641024,0.5897435897435898,0.3448275862068966,0.6551724137931034
