,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
27,better,Positive,5,6.0,5,6.0,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454
42,concern,Negative,36,57.0,27,32.0,0.3870967741935484,0.6129032258064516,0.4576271186440678,0.5423728813559322
44,confid,Positive,9,14.0,5,10.0,0.391304347826087,0.6086956521739131,0.3333333333333333,0.6666666666666666
56,correct,Negative,7,7.0,6,7.0,0.5,0.5,0.46153846153846156,0.5384615384615384
61,declin,Negative,64,51.0,35,31.0,0.5565217391304348,0.4434782608695652,0.5303030303030303,0.4696969696969697
64,default,Negative,7,27.0,7,18.0,0.20588235294117646,0.7941176470588235,0.28,0.72
66,deficit,Negative,17,16.0,12,11.0,0.5151515151515151,0.48484848484848486,0.5217391304347826,0.4782608695652174
75,deterior,Negative,10,23.0,7,17.0,0.30303030303030304,0.696969696969697,0.2916666666666667,0.7083333333333334
81,difficult,Negative,15,27.0,11,21.0,0.35714285714285715,0.6428571428571429,0.34375,0.65625
103,downsid,Negative,6,28.0,6,20.0,0.17647058823529413,0.8235294117647058,0.23076923076923078,0.7692307692307693
106,downward,Negative,11,26.0,10,22.0,0.2972972972972973,0.7027027027027027,0.3125,0.6875
111,effect,Positive,98,137.0,69,71.0,0.41702127659574467,0.5829787234042553,0.4928571428571429,0.5071428571428571
158,good,Positive,5,9.0,4,7.0,0.35714285714285715,0.6428571428571429,0.36363636363636365,0.6363636363636364
160,grow,Positive,8,13.0,8,10.0,0.38095238095238093,0.6190476190476191,0.4444444444444444,0.5555555555555556
182,improv,Positive,30,46.0,16,28.0,0.39473684210526316,0.6052631578947368,0.36363636363636365,0.6363636363636364
217,neg,Negative,4,10.0,4,8.0,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666
240,posit,Positive,39,25.0,25,24.0,0.609375,0.390625,0.5102040816326531,0.4897959183673469
246,profit,Positive,9,19.0,6,13.0,0.32142857142857145,0.6785714285714286,0.3157894736842105,0.6842105263157895
250,question,Negative,5,11.0,4,10.0,0.3125,0.6875,0.2857142857142857,0.7142857142857143
258,recov,Positive,5,8.0,5,8.0,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.6153846153846154
261,recoveri,Positive,12,9.0,10,7.0,0.5714285714285714,0.42857142857142855,0.5882352941176471,0.4117647058823529
272,sever,Negative,8,14.0,7,13.0,0.36363636363636365,0.6363636363636364,0.35,0.65
288,slowdown,Negative,12,28.0,5,17.0,0.3,0.7,0.22727272727272727,0.7727272727272727
314,stabl,Positive,17,10.0,16,8.0,0.6296296296296297,0.37037037037037035,0.6666666666666666,0.3333333333333333
323,strengthen,Positive,11,7.0,10,7.0,0.6111111111111112,0.3888888888888889,0.5882352941176471,0.4117647058823529
324,stress,Negative,7,12.0,4,10.0,0.3684210526315789,0.631578947368421,0.2857142857142857,0.7142857142857143
336,ten,Negative,20,25.0,19,19.0,0.4444444444444444,0.5555555555555556,0.5,0.5
337,tension,Negative,3,10.0,3,8.0,0.23076923076923078,0.7692307692307693,0.2727272727272727,0.7272727272727273
369,volatil,Negative,49,74.0,32,37.0,0.3983739837398374,0.6016260162601627,0.463768115942029,0.5362318840579711
374,weaken,Negative,11,19.0,11,14.0,0.36666666666666664,0.6333333333333333,0.44,0.56
377,weaker,Negative,14,24.0,12,20.0,0.3684210526315789,0.631578947368421,0.375,0.625
379,weak,Negative,15,23.0,13,17.0,0.39473684210526316,0.6052631578947368,0.43333333333333335,0.5666666666666667
