,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
8,achiev,Positive,11,13.0,8,11.0,0.4583333333333333,0.5416666666666666,0.42105263157894735,0.5789473684210527
10,advers,Negative,7,5.0,7,5.0,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.4166666666666667
42,concern,Negative,9,18.0,9,10.0,0.3333333333333333,0.6666666666666666,0.47368421052631576,0.5263157894736842
44,confid,Positive,16,16.0,12,13.0,0.5,0.5,0.48,0.52
61,declin,Negative,11,14.0,10,13.0,0.44,0.56,0.43478260869565216,0.5652173913043478
81,difficult,Negative,8,13.0,7,10.0,0.38095238095238093,0.6190476190476191,0.4117647058823529,0.5882352941176471
103,downsid,Negative,35,42.0,22,25.0,0.45454545454545453,0.5454545454545454,0.46808510638297873,0.5319148936170213
106,downward,Negative,10,10.0,8,8.0,0.5,0.5,0.5,0.5
107,drag,Negative,4,16.0,4,8.0,0.2,0.8,0.3333333333333333,0.6666666666666666
109,drop,Negative,9,4.0,8,4.0,0.6923076923076923,0.3076923076923077,0.6666666666666666,0.3333333333333333
111,effect,Positive,58,67.0,34,37.0,0.464,0.536,0.4788732394366197,0.5211267605633803
132,excess,Negative,3,15.0,2,13.0,0.16666666666666666,0.8333333333333334,0.13333333333333333,0.8666666666666667
158,good,Positive,8,8.0,8,5.0,0.5,0.5,0.6153846153846154,0.38461538461538464
160,grow,Positive,17,16.0,11,10.0,0.5151515151515151,0.48484848484848486,0.5238095238095238,0.47619047619047616
182,improv,Positive,8,10.0,7,8.0,0.4444444444444444,0.5555555555555556,0.4666666666666667,0.5333333333333333
240,posit,Positive,6,6.0,6,5.0,0.5,0.5,0.5454545454545454,0.45454545454545453
258,recov,Positive,13,13.0,11,13.0,0.5,0.5,0.4583333333333333,0.5416666666666666
261,recoveri,Positive,36,14.0,16,6.0,0.72,0.28,0.7272727272727273,0.2727272727272727
288,slowdown,Negative,11,11.0,10,8.0,0.5,0.5,0.5555555555555556,0.4444444444444444
295,smooth,Positive,7,10.0,7,5.0,0.4117647058823529,0.5882352941176471,0.5833333333333334,0.4166666666666667
359,unemploy,Negative,13,14.0,9,13.0,0.48148148148148145,0.5185185185185185,0.4090909090909091,0.5909090909090909
369,volatil,Negative,8,15.0,7,13.0,0.34782608695652173,0.6521739130434783,0.35,0.65
374,weaken,Negative,6,8.0,5,7.0,0.42857142857142855,0.5714285714285714,0.4166666666666667,0.5833333333333334
377,weaker,Negative,42,26.0,23,18.0,0.6176470588235294,0.38235294117647056,0.5609756097560976,0.43902439024390244
379,weak,Negative,18,26.0,14,16.0,0.4090909090909091,0.5909090909090909,0.4666666666666667,0.5333333333333333
