,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
0,abl,Positive,11,2.0,9,2.0,0.8461538461538461,0.15384615384615385,0.8181818181818182,0.18181818181818182
10,advers,Negative,15,10.0,12,9.0,0.6,0.4,0.5714285714285714,0.42857142857142855
27,better,Positive,11,6.0,10,5.0,0.6470588235294118,0.35294117647058826,0.6666666666666666,0.3333333333333333
42,concern,Negative,21,24.0,16,19.0,0.4666666666666667,0.5333333333333333,0.45714285714285713,0.5428571428571428
44,confid,Positive,102,108.0,58,66.0,0.4857142857142857,0.5142857142857142,0.46774193548387094,0.532258064516129
52,contain,Positive,11,18.0,8,14.0,0.3793103448275862,0.6206896551724138,0.36363636363636365,0.6363636363636364
53,contract,Negative,24,37.0,16,26.0,0.39344262295081966,0.6065573770491803,0.38095238095238093,0.6190476190476191
61,declin,Negative,81,94.0,42,49.0,0.46285714285714286,0.5371428571428571,0.46153846153846156,0.5384615384615384
66,deficit,Negative,16,34.0,10,15.0,0.32,0.68,0.4,0.6
67,delay,Negative,5,12.0,5,10.0,0.29411764705882354,0.7058823529411765,0.3333333333333333,0.6666666666666666
70,depress,Negative,6,19.0,6,16.0,0.24,0.76,0.2727272727272727,0.7272727272727273
75,deterior,Negative,5,19.0,5,16.0,0.20833333333333334,0.7916666666666666,0.23809523809523808,0.7619047619047619
81,difficult,Negative,42,34.0,32,25.0,0.5526315789473685,0.4473684210526316,0.5614035087719298,0.43859649122807015
82,difficulti,Negative,7,9.0,6,7.0,0.4375,0.5625,0.46153846153846156,0.5384615384615384
87,disrupt,Negative,6,17.0,5,11.0,0.2608695652173913,0.7391304347826086,0.3125,0.6875
103,downsid,Negative,9,22.0,8,16.0,0.2903225806451613,0.7096774193548387,0.3333333333333333,0.6666666666666666
106,downward,Negative,39,34.0,25,25.0,0.5342465753424658,0.4657534246575342,0.5,0.5
107,drag,Negative,13,15.0,11,12.0,0.4642857142857143,0.5357142857142857,0.4782608695652174,0.5217391304347826
109,drop,Negative,8,16.0,7,13.0,0.3333333333333333,0.6666666666666666,0.35,0.65
111,effect,Positive,72,159.0,41,55.0,0.3116883116883117,0.6883116883116883,0.4270833333333333,0.5729166666666666
147,favour,Positive,5,7.0,5,7.0,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5833333333333334
158,good,Positive,66,61.0,42,36.0,0.5196850393700787,0.48031496062992124,0.5384615384615384,0.46153846153846156
160,grow,Positive,53,52.0,31,36.0,0.5047619047619047,0.49523809523809526,0.4626865671641791,0.5373134328358209
182,improv,Positive,76,46.0,41,29.0,0.6229508196721312,0.3770491803278688,0.5857142857142857,0.4142857142857143
204,lag,Negative,6,12.0,5,8.0,0.3333333333333333,0.6666666666666666,0.38461538461538464,0.6153846153846154
217,neg,Negative,24,37.0,20,25.0,0.39344262295081966,0.6065573770491803,0.4444444444444444,0.5555555555555556
222,optim,Positive,9,13.0,9,11.0,0.4090909090909091,0.5909090909090909,0.45,0.55
240,posit,Positive,63,57.0,44,34.0,0.525,0.475,0.5641025641025641,0.4358974358974359
246,profit,Positive,18,30.0,11,23.0,0.375,0.625,0.3235294117647059,0.6764705882352942
250,question,Negative,15,18.0,14,15.0,0.45454545454545453,0.5454545454545454,0.4827586206896552,0.5172413793103449
253,rebound,Positive,11,10.0,10,8.0,0.5238095238095238,0.47619047619047616,0.5555555555555556,0.4444444444444444
256,recess,Negative,14,5.0,10,4.0,0.7368421052631579,0.2631578947368421,0.7142857142857143,0.2857142857142857
258,recov,Positive,25,25.0,19,21.0,0.5,0.5,0.475,0.525
261,recoveri,Positive,88,43.0,42,27.0,0.6717557251908397,0.3282442748091603,0.6086956521739131,0.391304347826087
265,resili,Positive,11,7.0,11,5.0,0.6111111111111112,0.3888888888888889,0.6875,0.3125
272,sever,Negative,16,13.0,14,11.0,0.5517241379310345,0.4482758620689655,0.56,0.44
288,slowdown,Negative,59,77.0,32,41.0,0.4338235294117647,0.5661764705882353,0.4383561643835616,0.5616438356164384
297,solid,Positive,6,7.0,4,7.0,0.46153846153846156,0.5384615384615384,0.36363636363636365,0.6363636363636364
306,squeez,Negative,9,8.0,9,7.0,0.5294117647058824,0.47058823529411764,0.5625,0.4375
308,stabilis,Positive,24,8.0,16,7.0,0.75,0.25,0.6956521739130435,0.30434782608695654
314,stabl,Positive,10,14.0,9,13.0,0.4166666666666667,0.5833333333333334,0.4090909090909091,0.5909090909090909
323,strengthen,Positive,38,22.0,27,16.0,0.6333333333333333,0.36666666666666664,0.627906976744186,0.37209302325581395
328,success,Positive,10,9.0,9,7.0,0.5263157894736842,0.47368421052631576,0.5625,0.4375
336,ten,Negative,5,6.0,5,6.0,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454
359,unemploy,Negative,5,17.0,5,10.0,0.22727272727272727,0.7727272727272727,0.3333333333333333,0.6666666666666666
369,volatil,Negative,38,47.0,32,37.0,0.4470588235294118,0.5529411764705883,0.463768115942029,0.5362318840579711
374,weaken,Negative,50,77.0,30,45.0,0.3937007874015748,0.6062992125984252,0.4,0.6
377,weaker,Negative,93,120.0,51,60.0,0.43661971830985913,0.5633802816901409,0.4594594594594595,0.5405405405405406
378,weakest,Negative,7,7.0,7,7.0,0.5,0.5,0.5,0.5
379,weak,Negative,203,176.0,68,64.0,0.5356200527704486,0.46437994722955145,0.5151515151515151,0.48484848484848486
