,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
0,abl,Positive,8,8.0,6,8.0,0.5,0.5,0.42857142857142855,0.5714285714285714
26,benign,Positive,4,13.0,4,10.0,0.23529411764705882,0.7647058823529411,0.2857142857142857,0.7142857142857143
42,concern,Negative,13,17.0,10,13.0,0.43333333333333335,0.5666666666666667,0.43478260869565216,0.5652173913043478
44,confid,Positive,7,10.0,5,10.0,0.4117647058823529,0.5882352941176471,0.3333333333333333,0.6666666666666666
61,declin,Negative,65,73.0,37,35.0,0.47101449275362317,0.5289855072463768,0.5138888888888888,0.4861111111111111
67,delay,Negative,10,2.0,10,1.0,0.8333333333333334,0.16666666666666666,0.9090909090909091,0.09090909090909091
70,depress,Negative,5,9.0,5,8.0,0.35714285714285715,0.6428571428571429,0.38461538461538464,0.6153846153846154
81,difficult,Negative,31,33.0,26,27.0,0.484375,0.515625,0.49056603773584906,0.5094339622641509
82,difficulti,Negative,16,19.0,15,19.0,0.45714285714285713,0.5428571428571428,0.4411764705882353,0.5588235294117647
103,downsid,Negative,5,12.0,5,10.0,0.29411764705882354,0.7058823529411765,0.3333333333333333,0.6666666666666666
106,downward,Negative,27,31.0,19,25.0,0.46551724137931033,0.5344827586206896,0.4318181818181818,0.5681818181818182
109,drop,Negative,19,28.0,19,25.0,0.40425531914893614,0.5957446808510638,0.4318181818181818,0.5681818181818182
111,effect,Positive,102,116.0,57,52.0,0.46788990825688076,0.5321100917431193,0.5229357798165137,0.47706422018348627
151,forc,Negative,48,48.0,38,47.0,0.5,0.5,0.4470588235294118,0.5529411764705883
158,good,Positive,54,53.0,40,36.0,0.5046728971962616,0.4953271028037383,0.5263157894736842,0.47368421052631576
160,grow,Positive,22,24.0,17,20.0,0.4782608695652174,0.5217391304347826,0.4594594594594595,0.5405405405405406
182,improv,Positive,10,13.0,9,10.0,0.43478260869565216,0.5652173913043478,0.47368421052631576,0.5263157894736842
204,lag,Negative,10,5.0,10,5.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
207,loss,Negative,10,3.0,9,2.0,0.7692307692307693,0.23076923076923078,0.8181818181818182,0.18181818181818182
217,neg,Negative,9,13.0,9,12.0,0.4090909090909091,0.5909090909090909,0.42857142857142855,0.5714285714285714
240,posit,Positive,7,9.0,7,7.0,0.4375,0.5625,0.5,0.5
246,profit,Positive,21,30.0,18,20.0,0.4117647058823529,0.5882352941176471,0.47368421052631576,0.5263157894736842
250,question,Negative,3,13.0,3,13.0,0.1875,0.8125,0.1875,0.8125
256,recess,Negative,28,10.0,17,7.0,0.7368421052631579,0.2631578947368421,0.7083333333333334,0.2916666666666667
258,recov,Positive,18,14.0,13,11.0,0.5625,0.4375,0.5416666666666666,0.4583333333333333
261,recoveri,Positive,26,18.0,22,14.0,0.5909090909090909,0.4090909090909091,0.6111111111111112,0.3888888888888889
265,resili,Positive,8,4.0,7,4.0,0.6666666666666666,0.3333333333333333,0.6363636363636364,0.36363636363636365
272,sever,Negative,14,13.0,12,10.0,0.5185185185185185,0.48148148148148145,0.5454545454545454,0.45454545454545453
276,shortag,Negative,13,33.0,12,24.0,0.2826086956521739,0.717391304347826,0.3333333333333333,0.6666666666666666
288,slowdown,Negative,20,19.0,14,13.0,0.5128205128205128,0.48717948717948717,0.5185185185185185,0.48148148148148145
306,squeez,Negative,9,10.0,8,8.0,0.47368421052631576,0.5263157894736842,0.5,0.5
308,stabilis,Positive,7,6.0,7,6.0,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.46153846153846156
314,stabl,Positive,33,38.0,26,31.0,0.4647887323943662,0.5352112676056338,0.45614035087719296,0.543859649122807
323,strengthen,Positive,9,13.0,9,13.0,0.4090909090909091,0.5909090909090909,0.4090909090909091,0.5909090909090909
336,ten,Negative,12,17.0,11,17.0,0.41379310344827586,0.5862068965517241,0.39285714285714285,0.6071428571428571
359,unemploy,Negative,146,157.0,74,76.0,0.48184818481848185,0.5181518151815182,0.49333333333333335,0.5066666666666667
369,volatil,Negative,29,44.0,22,28.0,0.3972602739726027,0.6027397260273972,0.44,0.56
374,weaken,Negative,23,35.0,17,25.0,0.39655172413793105,0.603448275862069,0.40476190476190477,0.5952380952380952
377,weaker,Negative,32,43.0,27,29.0,0.4266666666666667,0.5733333333333334,0.48214285714285715,0.5178571428571429
379,weak,Negative,76,72.0,37,39.0,0.5135135135135135,0.4864864864864865,0.4868421052631579,0.5131578947368421
