,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
0,abl,Positive,7,13.0,7,10.0,0.35,0.65,0.4117647058823529,0.5882352941176471
2,abrupt,Negative,10,7.0,10,7.0,0.5882352941176471,0.4117647058823529,0.5882352941176471,0.4117647058823529
3,absorb,Positive,9,13.0,7,12.0,0.4090909090909091,0.5909090909090909,0.3684210526315789,0.631578947368421
8,achiev,Positive,16,26.0,14,17.0,0.38095238095238093,0.6190476190476191,0.45161290322580644,0.5483870967741935
10,advers,Negative,27,16.0,24,13.0,0.627906976744186,0.37209302325581395,0.6486486486486487,0.35135135135135137
24,benefit,Positive,18,7.0,13,7.0,0.72,0.28,0.65,0.35
26,benign,Positive,10,14.0,9,13.0,0.4166666666666667,0.5833333333333334,0.4090909090909091,0.5909090909090909
27,better,Positive,8,25.0,8,23.0,0.24242424242424243,0.7575757575757576,0.25806451612903225,0.7419354838709677
35,challeng,Negative,17,22.0,16,19.0,0.4358974358974359,0.5641025641025641,0.45714285714285713,0.5428571428571428
42,concern,Negative,44,50.0,32,37.0,0.46808510638297873,0.5319148936170213,0.463768115942029,0.5362318840579711
44,confid,Positive,85,101.0,49,50.0,0.45698924731182794,0.543010752688172,0.494949494949495,0.5050505050505051
52,contain,Positive,24,15.0,21,13.0,0.6153846153846154,0.38461538461538464,0.6176470588235294,0.38235294117647056
53,contract,Negative,5,19.0,4,13.0,0.20833333333333334,0.7916666666666666,0.23529411764705882,0.7647058823529411
56,correct,Negative,9,13.0,5,9.0,0.4090909090909091,0.5909090909090909,0.35714285714285715,0.6428571428571429
57,costli,Negative,9,3.0,9,3.0,0.75,0.25,0.75,0.25
58,damag,Negative,6,13.0,6,11.0,0.3157894736842105,0.6842105263157895,0.35294117647058826,0.6470588235294118
61,declin,Negative,31,50.0,23,37.0,0.38271604938271603,0.6172839506172839,0.38333333333333336,0.6166666666666667
66,deficit,Negative,6,7.0,6,7.0,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.5384615384615384
67,delay,Negative,16,47.0,13,28.0,0.25396825396825395,0.746031746031746,0.3170731707317073,0.6829268292682927
70,depress,Negative,9,15.0,9,12.0,0.375,0.625,0.42857142857142855,0.5714285714285714
75,deterior,Negative,10,37.0,8,23.0,0.2127659574468085,0.7872340425531915,0.25806451612903225,0.7419354838709677
81,difficult,Negative,26,42.0,23,36.0,0.38235294117647056,0.6176470588235294,0.3898305084745763,0.6101694915254238
82,difficulti,Negative,6,14.0,6,13.0,0.3,0.7,0.3157894736842105,0.6842105263157895
84,disappoint,Negative,11,4.0,10,4.0,0.7333333333333333,0.26666666666666666,0.7142857142857143,0.2857142857142857
87,disrupt,Negative,5,7.0,4,7.0,0.4166666666666667,0.5833333333333334,0.36363636363636365,0.6363636363636364
103,downsid,Negative,133,168.0,68,65.0,0.4418604651162791,0.5581395348837209,0.5112781954887218,0.48872180451127817
105,downturn,Negative,5,15.0,5,8.0,0.25,0.75,0.38461538461538464,0.6153846153846154
106,downward,Negative,37,35.0,28,26.0,0.5138888888888888,0.4861111111111111,0.5185185185185185,0.48148148148148145
107,drag,Negative,11,22.0,8,16.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
109,drop,Negative,8,10.0,8,10.0,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556
111,effect,Positive,140,181.0,64,74.0,0.43613707165109034,0.5638629283489096,0.463768115942029,0.5362318840579711
128,exacerb,Negative,6,10.0,5,9.0,0.375,0.625,0.35714285714285715,0.6428571428571429
132,excess,Negative,11,30.0,9,20.0,0.2682926829268293,0.7317073170731707,0.3103448275862069,0.6896551724137931
147,favour,Positive,140,122.0,84,78.0,0.5343511450381679,0.46564885496183206,0.5185185185185185,0.48148148148148145
151,forc,Negative,18,10.0,14,9.0,0.6428571428571429,0.35714285714285715,0.6086956521739131,0.391304347826087
152,fragil,Negative,12,14.0,12,13.0,0.46153846153846156,0.5384615384615384,0.48,0.52
158,good,Positive,22,23.0,21,22.0,0.4888888888888889,0.5111111111111111,0.4883720930232558,0.5116279069767442
160,grow,Positive,51,53.0,35,36.0,0.49038461538461536,0.5096153846153846,0.49295774647887325,0.5070422535211268
164,headwind,Negative,10,19.0,7,13.0,0.3448275862068966,0.6551724137931034,0.35,0.65
173,imbal,Negative,8,28.0,6,14.0,0.2222222222222222,0.7777777777777778,0.3,0.7
175,impair,Negative,8,9.0,6,7.0,0.47058823529411764,0.5294117647058824,0.46153846153846156,0.5384615384615384
182,improv,Positive,43,46.0,31,28.0,0.48314606741573035,0.5168539325842697,0.5254237288135594,0.4745762711864407
196,insuffici,Negative,8,7.0,7,7.0,0.5333333333333333,0.4666666666666667,0.5,0.5
204,lag,Negative,16,12.0,12,11.0,0.5714285714285714,0.42857142857142855,0.5217391304347826,0.4782608695652174
217,neg,Negative,13,19.0,11,16.0,0.40625,0.59375,0.4074074074074074,0.5925925925925926
221,opportun,Positive,14,14.0,11,13.0,0.5,0.5,0.4583333333333333,0.5416666666666666
238,pose,Negative,21,19.0,16,17.0,0.525,0.475,0.48484848484848486,0.5151515151515151
240,posit,Positive,55,38.0,39,30.0,0.5913978494623656,0.40860215053763443,0.5652173913043478,0.43478260869565216
242,prevent,Positive,8,7.0,8,5.0,0.5333333333333333,0.4666666666666667,0.6153846153846154,0.38461538461538464
243,problem,Negative,6,10.0,5,10.0,0.375,0.625,0.3333333333333333,0.6666666666666666
246,profit,Positive,17,19.0,14,15.0,0.4722222222222222,0.5277777777777778,0.4827586206896552,0.5172413793103449
247,prolong,Negative,12,15.0,10,13.0,0.4444444444444444,0.5555555555555556,0.43478260869565216,0.5652173913043478
250,question,Negative,20,27.0,14,23.0,0.425531914893617,0.574468085106383,0.3783783783783784,0.6216216216216216
256,recess,Negative,14,9.0,10,8.0,0.6086956521739131,0.391304347826087,0.5555555555555556,0.4444444444444444
258,recov,Positive,44,34.0,32,24.0,0.5641025641025641,0.4358974358974359,0.5714285714285714,0.42857142857142855
261,recoveri,Positive,139,73.0,58,37.0,0.6556603773584906,0.3443396226415094,0.6105263157894737,0.3894736842105263
265,resili,Positive,26,13.0,20,12.0,0.6666666666666666,0.3333333333333333,0.625,0.375
266,resolv,Positive,11,12.0,11,11.0,0.4782608695652174,0.5217391304347826,0.5,0.5
272,sever,Negative,20,25.0,18,22.0,0.4444444444444444,0.5555555555555556,0.45,0.55
288,slowdown,Negative,45,99.0,24,46.0,0.3125,0.6875,0.34285714285714286,0.6571428571428571
306,squeez,Negative,12,14.0,11,13.0,0.46153846153846156,0.5384615384615384,0.4583333333333333,0.5416666666666666
308,stabilis,Positive,12,15.0,9,13.0,0.4444444444444444,0.5555555555555556,0.4090909090909091,0.5909090909090909
311,stabil,Positive,26,13.0,11,10.0,0.6666666666666666,0.3333333333333333,0.5238095238095238,0.47619047619047616
314,stabl,Positive,10,13.0,9,12.0,0.43478260869565216,0.5652173913043478,0.42857142857142855,0.5714285714285714
323,strengthen,Positive,36,37.0,28,23.0,0.4931506849315068,0.5068493150684932,0.5490196078431373,0.45098039215686275
324,stress,Negative,5,10.0,4,7.0,0.3333333333333333,0.6666666666666666,0.36363636363636365,0.6363636363636364
328,success,Positive,6,7.0,5,6.0,0.46153846153846156,0.5384615384615384,0.45454545454545453,0.5454545454545454
337,tension,Negative,2,13.0,2,10.0,0.13333333333333333,0.8666666666666667,0.16666666666666666,0.8333333333333334
339,threat,Negative,5,10.0,4,8.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
359,unemploy,Negative,58,45.0,27,31.0,0.5631067961165048,0.4368932038834951,0.46551724137931033,0.5344827586206896
369,volatil,Negative,43,47.0,31,31.0,0.4777777777777778,0.5222222222222223,0.5,0.5
371,vulner,Negative,5,12.0,3,10.0,0.29411764705882354,0.7058823529411765,0.23076923076923078,0.7692307692307693
374,weaken,Negative,43,63.0,28,39.0,0.4056603773584906,0.5943396226415094,0.417910447761194,0.582089552238806
377,weaker,Negative,101,108.0,56,52.0,0.48325358851674644,0.5167464114832536,0.5185185185185185,0.48148148148148145
379,weak,Negative,126,118.0,58,56.0,0.5163934426229508,0.48360655737704916,0.5087719298245614,0.49122807017543857
386,worsen,Negative,4,13.0,4,10.0,0.23529411764705882,0.7647058823529411,0.2857142857142857,0.7142857142857143
