,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
10,advers,Negative,17,7.0,13,7.0,0.7083333333333334,0.2916666666666667,0.65,0.35
27,better,Positive,18,4.0,18,4.0,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.18181818181818182
35,challeng,Negative,4,8.0,4,7.0,0.3333333333333333,0.6666666666666666,0.36363636363636365,0.6363636363636364
42,concern,Negative,43,31.0,28,23.0,0.581081081081081,0.4189189189189189,0.5490196078431373,0.45098039215686275
44,confid,Positive,136,120.0,61,57.0,0.53125,0.46875,0.5169491525423728,0.4830508474576271
53,contract,Negative,18,31.0,17,22.0,0.3673469387755102,0.6326530612244898,0.4358974358974359,0.5641025641025641
56,correct,Negative,5,10.0,4,7.0,0.3333333333333333,0.6666666666666666,0.36363636363636365,0.6363636363636364
61,declin,Negative,39,69.0,29,37.0,0.3611111111111111,0.6388888888888888,0.4393939393939394,0.5606060606060606
66,deficit,Negative,27,17.0,14,15.0,0.6136363636363636,0.38636363636363635,0.4827586206896552,0.5172413793103449
70,depress,Negative,7,11.0,6,10.0,0.3888888888888889,0.6111111111111112,0.375,0.625
75,deterior,Negative,9,19.0,7,16.0,0.32142857142857145,0.6785714285714286,0.30434782608695654,0.6956521739130435
81,difficult,Negative,17,19.0,15,14.0,0.4722222222222222,0.5277777777777778,0.5172413793103449,0.4827586206896552
87,disrupt,Negative,10,15.0,10,11.0,0.4,0.6,0.47619047619047616,0.5238095238095238
103,downsid,Negative,36,43.0,26,28.0,0.45569620253164556,0.5443037974683544,0.48148148148148145,0.5185185185185185
105,downturn,Negative,4,19.0,3,10.0,0.17391304347826086,0.8260869565217391,0.23076923076923078,0.7692307692307693
106,downward,Negative,26,19.0,23,16.0,0.5777777777777777,0.4222222222222222,0.5897435897435898,0.41025641025641024
107,drag,Negative,5,9.0,5,7.0,0.35714285714285715,0.6428571428571429,0.4166666666666667,0.5833333333333334
109,drop,Negative,11,12.0,5,10.0,0.4782608695652174,0.5217391304347826,0.3333333333333333,0.6666666666666666
111,effect,Positive,69,64.0,37,40.0,0.518796992481203,0.48120300751879697,0.4805194805194805,0.5194805194805194
132,excess,Negative,7,5.0,7,4.0,0.5833333333333334,0.4166666666666667,0.6363636363636364,0.36363636363636365
152,fragil,Negative,6,7.0,6,6.0,0.46153846153846156,0.5384615384615384,0.5,0.5
155,gain,Positive,6,7.0,5,6.0,0.46153846153846156,0.5384615384615384,0.45454545454545453,0.5454545454545454
