,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
88,account,Neutral,288,300.0,85,76.0,0.4897959183673469,0.5102040816326531,0.5279503105590062,0.4720496894409938
277,agenc,Neutral,14,10.0,13,9.0,0.5833333333333334,0.4166666666666667,0.5909090909090909,0.4090909090909091
302,agricultur,Neutral,8,20.0,7,14.0,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666
725,associ,Postive,145,175.0,66,70.0,0.453125,0.546875,0.4852941176470588,0.5147058823529411
921,bank,Neutral,1083,1541.0,89,89.0,0.41272865853658536,0.5872713414634146,0.5,0.5
1067,benefit,Postive,35,24.0,22,18.0,0.5932203389830508,0.4067796610169492,0.55,0.45
1113,bill,Neutral,5,14.0,5,10.0,0.2631578947368421,0.7368421052631579,0.3333333333333333,0.6666666666666666
1186,blue,Neutral,10,10.0,8,5.0,0.5,0.5,0.6153846153846154,0.38461538461538464
1197,board,Neutral,14,13.0,11,13.0,0.5185185185185185,0.48148148148148145,0.4583333333333333,0.5416666666666666
1230,bonu,Postive,25,49.0,19,22.0,0.33783783783783783,0.6621621621621622,0.4634146341463415,0.5365853658536586
1386,budget,Neutral,70,98.0,26,31.0,0.4166666666666667,0.5833333333333334,0.45614035087719296,0.543859649122807
1431,busi,Neutral,540,552.0,88,85.0,0.4945054945054945,0.5054945054945055,0.5086705202312138,0.4913294797687861
1443,buy,Postive,14,28.0,13,18.0,0.3333333333333333,0.6666666666666666,0.41935483870967744,0.5806451612903226
1508,capit,Neutral,136,152.0,59,60.0,0.4722222222222222,0.5277777777777778,0.4957983193277311,0.5042016806722689
1552,cash,Neutral,14,28.0,11,19.0,0.3333333333333333,0.6666666666666666,0.36666666666666664,0.6333333333333333
1663,charg,Neutral,6,10.0,6,8.0,0.375,0.625,0.42857142857142855,0.5714285714285714
1691,check,Neutral,5,6.0,5,6.0,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454
1892,coin,Neutral,18,16.0,14,14.0,0.5294117647058824,0.47058823529411764,0.5,0.5
1914,collect,Neutral,37,59.0,13,30.0,0.3854166666666667,0.6145833333333334,0.3023255813953488,0.6976744186046512
1973,commerc,Neutral,4,19.0,4,16.0,0.17391304347826086,0.8260869565217391,0.2,0.8
1974,commerci,Neutral,8,34.0,6,16.0,0.19047619047619047,0.8095238095238095,0.2727272727272727,0.7272727272727273
1984,commod,Neutral,137,177.0,49,64.0,0.43630573248407645,0.5636942675159236,0.4336283185840708,0.5663716814159292
1987,common,Neutral,13,12.0,10,9.0,0.52,0.48,0.5263157894736842,0.47368421052631576
2006,commun,Neutral,23,28.0,20,25.0,0.45098039215686275,0.5490196078431373,0.4444444444444444,0.5555555555555556
2012,compani,Neutral,210,237.0,66,62.0,0.4697986577181208,0.5302013422818792,0.515625,0.484375
2093,concern,Neutral,166,197.0,64,73.0,0.4573002754820937,0.5426997245179064,0.46715328467153283,0.5328467153284672
2237,consum,Neutral,514,410.0,85,87.0,0.5562770562770563,0.44372294372294374,0.4941860465116279,0.5058139534883721
2239,consumpt,Neutral,678,566.0,82,84.0,0.545016077170418,0.454983922829582,0.4939759036144578,0.5060240963855421
2276,contract,Neutral,62,97.0,38,43.0,0.389937106918239,0.610062893081761,0.4691358024691358,0.5308641975308642
2347,corpor,Neutral,214,293.0,75,78.0,0.42209072978303747,0.5779092702169625,0.49019607843137253,0.5098039215686274
2370,cost,Negative,292,507.0,79,86.0,0.36545682102628285,0.6345431789737171,0.47878787878787876,0.5212121212121212
2451,credit,Neutral,308,430.0,77,78.0,0.4173441734417344,0.5826558265582655,0.4967741935483871,0.5032258064516129
2551,currenc,Neutral,45,67.0,31,41.0,0.4017857142857143,0.5982142857142857,0.4305555555555556,0.5694444444444444
2633,deal,Neutral,11,25.0,10,18.0,0.3055555555555556,0.6944444444444444,0.35714285714285715,0.6428571428571429
2645,debt,Neutral,146,138.0,56,48.0,0.5140845070422535,0.4859154929577465,0.5384615384615384,0.46153846153846156
2715,deficit,Negative,70,79.0,34,38.0,0.4697986577181208,0.5302013422818792,0.4722222222222222,0.5277777777777778
2787,depart,Neutral,6,10.0,5,8.0,0.375,0.625,0.38461538461538464,0.6153846153846154
2805,depreci,Negative,263,227.0,67,67.0,0.536734693877551,0.463265306122449,0.5,0.5
3007,discount,Neutral,25,31.0,18,22.0,0.44642857142857145,0.5535714285714286,0.45,0.55
3149,dollar,Neutral,194,207.0,67,64.0,0.4837905236907731,0.516209476309227,0.5114503816793893,0.48854961832061067
3279,due,Neutral,73,96.0,47,53.0,0.4319526627218935,0.5680473372781065,0.47,0.53
3319,earn,Neutral,297,423.0,80,81.0,0.4125,0.5875,0.4968944099378882,0.5031055900621118
3352,econom,Neutral,368,356.0,82,76.0,0.5082872928176796,0.49171270718232046,0.5189873417721519,0.4810126582278481
3357,economi,Neutral,746,927.0,89,89.0,0.44590555887627015,0.5540944411237299,0.5,0.5
3480,employe,Neutral,45,37.0,36,24.0,0.5487804878048781,0.45121951219512196,0.6,0.4
3481,employ,Neutral,449,518.0,89,89.0,0.4643226473629783,0.5356773526370218,0.5,0.5
3607,equiti,Postive,338,323.0,87,86.0,0.5113464447806354,0.4886535552193646,0.5028901734104047,0.49710982658959535
3634,establish,Neutral,15,15.0,14,12.0,0.5,0.5,0.5384615384615384,0.46153846153846156
3721,exchang,Neutral,290,432.0,85,88.0,0.40166204986149584,0.5983379501385041,0.4913294797687861,0.5086705202312138
3723,exchequ,Neutral,7,11.0,5,9.0,0.3888888888888889,0.6111111111111112,0.35714285714285715,0.6428571428571429
3775,expenditur,Neutral,150,125.0,68,64.0,0.5454545454545454,0.45454545454545453,0.5151515151515151,0.48484848484848486
3927,farm,Neutral,37,40.0,33,34.0,0.4805194805194805,0.5194805194805194,0.4925373134328358,0.5074626865671642
4084,financ,Neutral,154,143.0,61,56.0,0.5185185185185185,0.48148148148148145,0.5213675213675214,0.47863247863247865
4086,financi,Neutral,550,669.0,86,89.0,0.45118949958982774,0.5488105004101723,0.49142857142857144,0.5085714285714286
4094,fine,Negative,19,18.0,17,17.0,0.5135135135135135,0.4864864864864865,0.5,0.5
4109,firm,Neutral,270,220.0,75,71.0,0.5510204081632653,0.4489795918367347,0.5136986301369864,0.4863013698630137
4121,fiscal,Neutral,178,158.0,55,58.0,0.5297619047619048,0.47023809523809523,0.48672566371681414,0.5132743362831859
4431,fund,Neutral,119,176.0,47,48.0,0.4033898305084746,0.5966101694915255,0.49473684210526314,0.5052631578947369
4460,gain,Postive,20,29.0,16,22.0,0.40816326530612246,0.5918367346938775,0.42105263157894735,0.5789473684210527
4639,good,Neutral,208,191.0,74,73.0,0.5213032581453634,0.47869674185463656,0.5034013605442177,0.4965986394557823
4677,grant,Neutral,10,2.0,9,2.0,0.8333333333333334,0.16666666666666666,0.8181818181818182,0.18181818181818182
5359,incom,Neutral,252,247.0,71,74.0,0.5050100200400801,0.49498997995991983,0.4896551724137931,0.5103448275862069
5438,industri,Neutral,182,194.0,75,76.0,0.48404255319148937,0.5159574468085106,0.4966887417218543,0.5033112582781457
5583,insur,Neutral,47,25.0,29,15.0,0.6527777777777778,0.3472222222222222,0.6590909090909091,0.3409090909090909
5611,interest,Neutral,744,651.0,89,86.0,0.5333333333333333,0.4666666666666667,0.5085714285714286,0.49142857142857144
5671,inventori,Neutral,45,54.0,30,31.0,0.45454545454545453,0.5454545454545454,0.4918032786885246,0.5081967213114754
5675,invest,Neutral,611,604.0,87,88.0,0.502880658436214,0.497119341563786,0.49714285714285716,0.5028571428571429
