,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
88,account,Neutral,44,46.0,29,30.0,0.4888888888888889,0.5111111111111111,0.4915254237288136,0.5084745762711864
725,associ,Postive,22,27.0,18,23.0,0.4489795918367347,0.5510204081632653,0.43902439024390244,0.5609756097560976
921,bank,Neutral,150,302.0,60,69.0,0.33185840707964603,0.668141592920354,0.46511627906976744,0.5348837209302325
1431,busi,Neutral,10,18.0,4,11.0,0.35714285714285715,0.6428571428571429,0.26666666666666666,0.7333333333333333
1508,capit,Neutral,18,25.0,14,16.0,0.4186046511627907,0.5813953488372093,0.4666666666666667,0.5333333333333333
1984,commod,Neutral,4,10.0,4,8.0,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666
2012,compani,Neutral,25,40.0,17,28.0,0.38461538461538464,0.6153846153846154,0.37777777777777777,0.6222222222222222
2093,concern,Neutral,36,57.0,27,32.0,0.3870967741935484,0.6129032258064516,0.4576271186440678,0.5423728813559322
2237,consum,Neutral,10,18.0,7,12.0,0.35714285714285715,0.6428571428571429,0.3684210526315789,0.631578947368421
2239,consumpt,Neutral,18,13.0,7,7.0,0.5806451612903226,0.41935483870967744,0.5,0.5
2347,corpor,Neutral,62,103.0,44,52.0,0.37575757575757573,0.6242424242424243,0.4583333333333333,0.5416666666666666
2370,cost,Negative,21,47.0,15,28.0,0.3088235294117647,0.6911764705882353,0.3488372093023256,0.6511627906976745
2451,credit,Neutral,30,75.0,17,36.0,0.2857142857142857,0.7142857142857143,0.32075471698113206,0.6792452830188679
2551,currenc,Neutral,19,43.0,16,30.0,0.3064516129032258,0.6935483870967742,0.34782608695652173,0.6521739130434783
2645,debt,Neutral,46,44.0,25,23.0,0.5111111111111111,0.4888888888888889,0.5208333333333334,0.4791666666666667
2715,deficit,Negative,17,16.0,12,11.0,0.5151515151515151,0.48484848484848486,0.5217391304347826,0.4782608695652174
