,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
88,account,Neutral,14,18.0,12,14.0,0.4375,0.5625,0.46153846153846156,0.5384615384615384
725,associ,Postive,10,10.0,7,9.0,0.5,0.5,0.4375,0.5625
921,bank,Neutral,96,128.0,24,33.0,0.42857142857142855,0.5714285714285714,0.42105263157894735,0.5789473684210527
1386,budget,Neutral,12,25.0,7,7.0,0.32432432432432434,0.6756756756756757,0.5,0.5
1431,busi,Neutral,32,38.0,21,21.0,0.45714285714285713,0.5428571428571428,0.5,0.5
1914,collect,Neutral,26,19.0,12,14.0,0.5777777777777777,0.4222222222222222,0.46153846153846156,0.5384615384615384
1984,commod,Neutral,9,13.0,7,10.0,0.4090909090909091,0.5909090909090909,0.4117647058823529,0.5882352941176471
2012,compani,Neutral,15,7.0,11,5.0,0.6818181818181818,0.3181818181818182,0.6875,0.3125
2093,concern,Neutral,9,18.0,9,10.0,0.3333333333333333,0.6666666666666666,0.47368421052631576,0.5263157894736842
2237,consum,Neutral,41,17.0,22,15.0,0.7068965517241379,0.29310344827586204,0.5945945945945946,0.40540540540540543
2239,consumpt,Neutral,27,25.0,20,16.0,0.5192307692307693,0.4807692307692308,0.5555555555555556,0.4444444444444444
2347,corpor,Neutral,14,10.0,11,8.0,0.5833333333333334,0.4166666666666667,0.5789473684210527,0.42105263157894735
2370,cost,Negative,23,58.0,16,23.0,0.2839506172839506,0.7160493827160493,0.41025641025641024,0.5897435897435898
2451,credit,Neutral,22,24.0,10,15.0,0.4782608695652174,0.5217391304347826,0.4,0.6
2805,depreci,Negative,43,26.0,20,17.0,0.6231884057971014,0.37681159420289856,0.5405405405405406,0.4594594594594595
3279,due,Neutral,7,10.0,7,10.0,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.5882352941176471
3319,earn,Neutral,12,19.0,8,10.0,0.3870967741935484,0.6129032258064516,0.4444444444444444,0.5555555555555556
3352,econom,Neutral,33,57.0,20,28.0,0.36666666666666664,0.6333333333333333,0.4166666666666667,0.5833333333333334
3357,economi,Neutral,50,73.0,28,33.0,0.4065040650406504,0.5934959349593496,0.45901639344262296,0.5409836065573771
3481,employ,Neutral,13,24.0,10,16.0,0.35135135135135137,0.6486486486486487,0.38461538461538464,0.6153846153846154
3721,exchang,Neutral,35,62.0,22,26.0,0.36082474226804123,0.6391752577319587,0.4583333333333333,0.5416666666666666
4084,financ,Neutral,25,26.0,15,16.0,0.49019607843137253,0.5098039215686274,0.4838709677419355,0.5161290322580645
4086,financi,Neutral,42,53.0,23,25.0,0.4421052631578947,0.5578947368421052,0.4791666666666667,0.5208333333333334
4109,firm,Neutral,7,8.0,5,7.0,0.4666666666666667,0.5333333333333333,0.4166666666666667,0.5833333333333334
4121,fiscal,Neutral,22,22.0,11,13.0,0.5,0.5,0.4583333333333333,0.5416666666666666
4639,good,Neutral,8,8.0,8,5.0,0.5,0.5,0.6153846153846154,0.38461538461538464
5359,incom,Neutral,43,26.0,15,15.0,0.6231884057971014,0.37681159420289856,0.5,0.5
5611,interest,Neutral,106,68.0,39,29.0,0.6091954022988506,0.39080459770114945,0.5735294117647058,0.4264705882352941
5675,invest,Neutral,39,34.0,23,21.0,0.5342465753424658,0.4657534246575342,0.5227272727272727,0.4772727272727273
5766,job,Neutral,12,1.0,10,1.0,0.9230769230769231,0.07692307692307693,0.9090909090909091,0.09090909090909091
6399,market,Neutral,137,150.0,51,45.0,0.47735191637630664,0.5226480836236934,0.53125,0.46875
6714,monetari,Neutral,77,88.0,20,24.0,0.4666666666666667,0.5333333333333333,0.45454545454545453,0.5454545454545454
6715,money,Neutral,8,7.0,6,7.0,0.5333333333333333,0.4666666666666667,0.46153846153846156,0.5384615384615384
7144,oil,Neutral,12,13.0,8,9.0,0.48,0.52,0.47058823529411764,0.5294117647058824
7278,output,Neutral,40,56.0,25,31.0,0.4166666666666667,0.5833333333333334,0.44642857142857145,0.5535714285714286
7505,pay,Neutral,18,11.0,12,9.0,0.6206896551724138,0.3793103448275862,0.5714285714285714,0.42857142857142855
7977,price,Neutral,138,120.0,45,40.0,0.5348837209302325,0.46511627906976744,0.5294117647058824,0.47058823529411764
8041,product,Neutral,21,27.0,11,16.0,0.4375,0.5625,0.4074074074074074,0.5925925925925926
8168,purchas,Neutral,31,38.0,18,18.0,0.4492753623188406,0.5507246376811594,0.5,0.5
8267,rais,Neutral,6,13.0,6,10.0,0.3157894736842105,0.6842105263157895,0.375,0.625
8340,real,Neutral,36,25.0,16,19.0,0.5901639344262295,0.4098360655737705,0.45714285714285713,0.5428571428571428
8683,retail,Neutral,5,10.0,5,7.0,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.5833333333333334
8697,return,Neutral,34,33.0,12,14.0,0.5074626865671642,0.4925373134328358,0.46153846153846156,0.5384615384615384
10188,suppli,Neutral,36,46.0,19,25.0,0.43902439024390244,0.5609756097560976,0.4318181818181818,0.5681818181818182
10725,trade,Neutral,53,29.0,23,16.0,0.6463414634146342,0.35365853658536583,0.5897435897435898,0.41025641025641024
10981,unemploy,Neutral,13,14.0,9,13.0,0.48148148148148145,0.5185185185185185,0.4090909090909091,0.5909090909090909
11020,union,Neutral,8,13.0,5,7.0,0.38095238095238093,0.6190476190476191,0.4166666666666667,0.5833333333333334
11340,wage,Neutral,20,21.0,14,12.0,0.4878048780487805,0.5121951219512195,0.5384615384615384,0.46153846153846156
11757,yield,Neutral,34,22.0,18,18.0,0.6071428571428571,0.39285714285714285,0.5,0.5
