,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
88,account,Neutral,89,107.0,48,49.0,0.45408163265306123,0.5459183673469388,0.4948453608247423,0.5051546391752577
725,associ,Postive,28,37.0,24,25.0,0.4307692307692308,0.5692307692307692,0.4897959183673469,0.5102040816326531
921,bank,Neutral,284,286.0,84,82.0,0.4982456140350877,0.5017543859649123,0.5060240963855421,0.4939759036144578
1386,budget,Neutral,35,33.0,19,17.0,0.5147058823529411,0.4852941176470588,0.5277777777777778,0.4722222222222222
1431,busi,Neutral,238,239.0,80,76.0,0.4989517819706499,0.5010482180293501,0.5128205128205128,0.48717948717948717
1443,buy,Postive,9,13.0,8,9.0,0.4090909090909091,0.5909090909090909,0.47058823529411764,0.5294117647058824
1508,capit,Neutral,57,46.0,30,31.0,0.5533980582524272,0.44660194174757284,0.4918032786885246,0.5081967213114754
1892,coin,Neutral,14,12.0,12,11.0,0.5384615384615384,0.46153846153846156,0.5217391304347826,0.4782608695652174
1973,commerc,Neutral,3,9.0,3,9.0,0.25,0.75,0.25,0.75
1974,commerci,Neutral,4,14.0,4,10.0,0.2222222222222222,0.7777777777777778,0.2857142857142857,0.7142857142857143
2012,compani,Neutral,98,89.0,43,38.0,0.5240641711229946,0.47593582887700536,0.5308641975308642,0.4691358024691358
2093,concern,Neutral,21,24.0,16,19.0,0.4666666666666667,0.5333333333333333,0.45714285714285713,0.5428571428571428
2237,consum,Neutral,170,156.0,68,74.0,0.5214723926380368,0.4785276073619632,0.4788732394366197,0.5211267605633803
2239,consumpt,Neutral,275,271.0,73,73.0,0.5036630036630036,0.49633699633699635,0.5,0.5
2276,contract,Neutral,24,37.0,16,26.0,0.39344262295081966,0.6065573770491803,0.38095238095238093,0.6190476190476191
2347,corpor,Neutral,61,89.0,35,43.0,0.4066666666666667,0.5933333333333334,0.44871794871794873,0.5512820512820513
2370,cost,Negative,28,54.0,24,31.0,0.34146341463414637,0.6585365853658537,0.43636363636363634,0.5636363636363636
2451,credit,Neutral,165,173.0,60,64.0,0.4881656804733728,0.5118343195266272,0.4838709677419355,0.5161290322580645
2551,currenc,Neutral,10,8.0,7,7.0,0.5555555555555556,0.4444444444444444,0.5,0.5
2645,debt,Neutral,38,46.0,25,18.0,0.4523809523809524,0.5476190476190477,0.5813953488372093,0.4186046511627907
2715,deficit,Negative,16,34.0,10,15.0,0.32,0.68,0.4,0.6
2805,depreci,Negative,34,31.0,20,14.0,0.5230769230769231,0.47692307692307695,0.5882352941176471,0.4117647058823529
3007,discount,Neutral,10,14.0,6,11.0,0.4166666666666667,0.5833333333333334,0.35294117647058826,0.6470588235294118
3149,dollar,Neutral,10,31.0,6,12.0,0.24390243902439024,0.7560975609756098,0.3333333333333333,0.6666666666666666
3279,due,Neutral,22,16.0,18,15.0,0.5789473684210527,0.42105263157894735,0.5454545454545454,0.45454545454545453
3319,earn,Neutral,17,27.0,13,19.0,0.38636363636363635,0.6136363636363636,0.40625,0.59375
3352,econom,Neutral,46,44.0,34,31.0,0.5111111111111111,0.4888888888888889,0.5230769230769231,0.47692307692307695
3357,economi,Neutral,68,98.0,39,44.0,0.40963855421686746,0.5903614457831325,0.46987951807228917,0.5301204819277109
3481,employ,Neutral,18,36.0,15,22.0,0.3333333333333333,0.6666666666666666,0.40540540540540543,0.5945945945945946
3607,equiti,Postive,58,58.0,30,23.0,0.5,0.5,0.5660377358490566,0.4339622641509434
3721,exchang,Neutral,21,64.0,11,28.0,0.24705882352941178,0.7529411764705882,0.28205128205128205,0.717948717948718
3775,expenditur,Neutral,89,78.0,58,49.0,0.5329341317365269,0.46706586826347307,0.5420560747663551,0.45794392523364486
4084,financ,Neutral,44,33.0,27,28.0,0.5714285714285714,0.42857142857142855,0.4909090909090909,0.509090909090909
4086,financi,Neutral,122,132.0,55,61.0,0.48031496062992124,0.5196850393700787,0.47413793103448276,0.5258620689655172
4109,firm,Neutral,64,50.0,36,33.0,0.5614035087719298,0.43859649122807015,0.5217391304347826,0.4782608695652174
4121,fiscal,Neutral,28,25.0,20,16.0,0.5283018867924528,0.4716981132075472,0.5555555555555556,0.4444444444444444
4431,fund,Neutral,51,37.0,27,19.0,0.5795454545454546,0.42045454545454547,0.5869565217391305,0.41304347826086957
4639,good,Neutral,66,61.0,42,36.0,0.5196850393700787,0.48031496062992124,0.5384615384615384,0.46153846153846156
5359,incom,Neutral,113,110.0,53,53.0,0.5067264573991032,0.49327354260089684,0.5,0.5
5438,industri,Neutral,48,69.0,37,45.0,0.41025641025641024,0.5897435897435898,0.45121951219512196,0.5487804878048781
5583,insur,Neutral,10,3.0,9,2.0,0.7692307692307693,0.23076923076923078,0.8181818181818182,0.18181818181818182
5611,interest,Neutral,71,91.0,31,34.0,0.4382716049382716,0.5617283950617284,0.47692307692307695,0.5230769230769231
5671,inventori,Neutral,23,21.0,15,14.0,0.5227272727272727,0.4772727272727273,0.5172413793103449,0.4827586206896552
5675,invest,Neutral,295,298.0,74,81.0,0.4974704890387858,0.5025295109612141,0.4774193548387097,0.5225806451612903
6159,loan,Neutral,34,53.0,30,35.0,0.39080459770114945,0.6091954022988506,0.46153846153846156,0.5384615384615384
6351,manag,Neutral,4,7.0,4,7.0,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.6363636363636364
6399,market,Neutral,211,236.0,77,76.0,0.4720357941834452,0.5279642058165548,0.5032679738562091,0.49673202614379086
6714,monetari,Neutral,36,37.0,24,24.0,0.4931506849315068,0.5068493150684932,0.5,0.5
6715,money,Neutral,121,94.0,50,49.0,0.5627906976744186,0.4372093023255814,0.5050505050505051,0.494949494949495
6743,mortgag,Neutral,68,131.0,37,58.0,0.3417085427135678,0.6582914572864321,0.3894736842105263,0.6105263157894737
7144,oil,Neutral,11,19.0,10,16.0,0.36666666666666664,0.6333333333333333,0.38461538461538464,0.6153846153846154
7278,output,Neutral,321,388.0,81,83.0,0.4527503526093089,0.5472496473906912,0.49390243902439024,0.5060975609756098
7546,pension,Neutral,18,2.0,15,2.0,0.9,0.1,0.8823529411764706,0.11764705882352941
7844,post,Neutral,18,10.0,17,9.0,0.6428571428571429,0.35714285714285715,0.6538461538461539,0.34615384615384615
7977,price,Neutral,285,308.0,78,77.0,0.4806070826306914,0.5193929173693086,0.5032258064516129,0.4967741935483871
8039,produc,Neutral,8,8.0,8,8.0,0.5,0.5,0.5,0.5
8041,product,Neutral,68,86.0,43,56.0,0.44155844155844154,0.5584415584415584,0.43434343434343436,0.5656565656565656
8051,profit,Postive,18,30.0,11,23.0,0.375,0.625,0.3235294117647059,0.6764705882352942
8091,properti,Neutral,17,31.0,13,19.0,0.3541666666666667,0.6458333333333334,0.40625,0.59375
8168,purchas,Neutral,62,75.0,45,51.0,0.45255474452554745,0.5474452554744526,0.46875,0.53125
8267,rais,Neutral,29,15.0,22,13.0,0.6590909090909091,0.3409090909090909,0.6285714285714286,0.37142857142857144
8340,real,Neutral,78,92.0,43,49.0,0.4588235294117647,0.5411764705882353,0.4673913043478261,0.532608695652174
8683,retail,Neutral,160,186.0,70,74.0,0.4624277456647399,0.5375722543352601,0.4861111111111111,0.5138888888888888
8697,return,Neutral,15,22.0,13,16.0,0.40540540540540543,0.5945945945945946,0.4482758620689655,0.5517241379310345
8962,sale,Neutral,161,185.0,69,75.0,0.4653179190751445,0.5346820809248555,0.4791666666666667,0.5208333333333334
9008,save,Neutral,39,42.0,23,23.0,0.48148148148148145,0.5185185185185185,0.5,0.5
9132,secur,Neutral,50,40.0,33,31.0,0.5555555555555556,0.4444444444444444,0.515625,0.484375
10188,suppli,Neutral,47,67.0,29,46.0,0.41228070175438597,0.5877192982456141,0.38666666666666666,0.6133333333333333
10365,tax,Neutral,39,29.0,27,17.0,0.5735294117647058,0.4264705882352941,0.6136363636363636,0.38636363636363635
10725,trade,Neutral,170,160.0,75,71.0,0.5151515151515151,0.48484848484848486,0.5136986301369864,0.4863013698630137
10783,treasuri,Neutral,8,8.0,6,8.0,0.5,0.5,0.42857142857142855,0.5714285714285714
10981,unemploy,Neutral,5,17.0,5,10.0,0.22727272727272727,0.7727272727272727,0.3333333333333333,0.6666666666666666
11556,wholesal,Neutral,3,10.0,3,9.0,0.23076923076923078,0.7692307692307693,0.25,0.75
11757,yield,Neutral,14,12.0,6,9.0,0.5384615384615384,0.46153846153846156,0.4,0.6
