,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
88,account,Neutral,54,45.0,35,34.0,0.5454545454545454,0.45454545454545453,0.5072463768115942,0.4927536231884058
725,associ,Postive,17,24.0,15,19.0,0.4146341463414634,0.5853658536585366,0.4411764705882353,0.5588235294117647
921,bank,Neutral,94,145.0,62,67.0,0.39330543933054396,0.606694560669456,0.4806201550387597,0.5193798449612403
1230,bonu,Postive,22,39.0,18,19.0,0.36065573770491804,0.639344262295082,0.4864864864864865,0.5135135135135135
1431,busi,Neutral,52,45.0,31,29.0,0.5360824742268041,0.4639175257731959,0.5166666666666667,0.48333333333333334
1508,capit,Neutral,8,10.0,7,6.0,0.4444444444444444,0.5555555555555556,0.5384615384615384,0.46153846153846156
1914,collect,Neutral,6,13.0,2,10.0,0.3157894736842105,0.6842105263157895,0.16666666666666666,0.8333333333333334
1984,commod,Neutral,31,41.0,19,25.0,0.4305555555555556,0.5694444444444444,0.4318181818181818,0.5681818181818182
2012,compani,Neutral,38,48.0,21,25.0,0.4418604651162791,0.5581395348837209,0.45652173913043476,0.5434782608695652
2093,concern,Neutral,13,17.0,10,13.0,0.43333333333333335,0.5666666666666667,0.43478260869565216,0.5652173913043478
2237,consum,Neutral,30,38.0,25,28.0,0.4411764705882353,0.5588235294117647,0.4716981132075472,0.5283018867924528
2239,consumpt,Neutral,8,10.0,7,6.0,0.4444444444444444,0.5555555555555556,0.5384615384615384,0.46153846153846156
2347,corpor,Neutral,9,8.0,8,7.0,0.5294117647058824,0.47058823529411764,0.5333333333333333,0.4666666666666667
2370,cost,Negative,122,181.0,59,63.0,0.40264026402640263,0.5973597359735974,0.48360655737704916,0.5163934426229508
2805,depreci,Negative,55,25.0,32,17.0,0.6875,0.3125,0.6530612244897959,0.3469387755102041
3007,discount,Neutral,6,9.0,6,8.0,0.4,0.6,0.42857142857142855,0.5714285714285714
3279,due,Neutral,8,16.0,7,16.0,0.3333333333333333,0.6666666666666666,0.30434782608695654,0.6956521739130435
3319,earn,Neutral,186,234.0,69,73.0,0.44285714285714284,0.5571428571428572,0.4859154929577465,0.5140845070422535
3352,econom,Neutral,12,13.0,8,11.0,0.48,0.52,0.42105263157894735,0.5789473684210527
3357,economi,Neutral,70,92.0,46,49.0,0.43209876543209874,0.5679012345679012,0.4842105263157895,0.5157894736842106
3480,employe,Neutral,38,28.0,32,19.0,0.5757575757575758,0.42424242424242425,0.6274509803921569,0.37254901960784315
3481,employ,Neutral,317,313.0,85,83.0,0.5031746031746032,0.49682539682539684,0.5059523809523809,0.49404761904761907
3721,exchang,Neutral,16,34.0,11,18.0,0.32,0.68,0.3793103448275862,0.6206896551724138
4086,financi,Neutral,62,42.0,37,31.0,0.5961538461538461,0.40384615384615385,0.5441176470588235,0.45588235294117646
