,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
88,account,Neutral,41,37.0,27,30.0,0.5256410256410257,0.47435897435897434,0.47368421052631576,0.5263157894736842
725,associ,Positive,44,44.0,29,31.0,0.5,0.5,0.48333333333333334,0.5166666666666667
921,bank,Neutral,393,581.0,68,84.0,0.40349075975359344,0.5965092402464066,0.4473684210526316,0.5526315789473685
1067,benefit,Positive,18,7.0,13,7.0,0.72,0.28,0.65,0.35
1386,budget,Neutral,14,22.0,10,13.0,0.3888888888888889,0.6111111111111112,0.43478260869565216,0.5652173913043478
1431,busi,Neutral,107,129.0,57,58.0,0.4533898305084746,0.5466101694915254,0.4956521739130435,0.5043478260869565
1508,capit,Neutral,14,23.0,11,16.0,0.3783783783783784,0.6216216216216216,0.4074074074074074,0.5925925925925926
1914,collect,Neutral,5,24.0,3,16.0,0.1724137931034483,0.8275862068965517,0.15789473684210525,0.8421052631578947
1984,commod,Neutral,33,51.0,18,28.0,0.39285714285714285,0.6071428571428571,0.391304347826087,0.6086956521739131
2006,commun,Neutral,6,7.0,6,7.0,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.5384615384615384
2012,compani,Neutral,22,34.0,15,19.0,0.39285714285714285,0.6071428571428571,0.4411764705882353,0.5588235294117647
2093,concern,Neutral,44,50.0,32,37.0,0.46808510638297873,0.5319148936170213,0.463768115942029,0.5362318840579711
2237,consum,Neutral,113,73.0,56,43.0,0.6075268817204301,0.3924731182795699,0.5656565656565656,0.43434343434343436
2239,consumpt,Neutral,193,139.0,63,54.0,0.5813253012048193,0.4186746987951807,0.5384615384615384,0.46153846153846156
2276,contract,Neutral,5,19.0,4,13.0,0.20833333333333334,0.7916666666666666,0.23529411764705882,0.7647058823529411
2347,corpor,Neutral,30,38.0,23,23.0,0.4411764705882353,0.5588235294117647,0.5,0.5
2370,cost,Negative,73,143.0,39,55.0,0.33796296296296297,0.6620370370370371,0.4148936170212766,0.5851063829787234
2451,credit,Neutral,51,109.0,36,47.0,0.31875,0.68125,0.43373493975903615,0.5662650602409639
2645,debt,Neutral,45,21.0,28,16.0,0.6818181818181818,0.3181818181818182,0.6363636363636364,0.36363636363636365
2715,deficit,Negative,6,7.0,6,7.0,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.5384615384615384
2805,depreci,Negative,79,59.0,36,34.0,0.572463768115942,0.427536231884058,0.5142857142857142,0.4857142857142857
3149,dollar,Neutral,9,8.0,6,7.0,0.5294117647058824,0.47058823529411764,0.46153846153846156,0.5384615384615384
3279,due,Neutral,18,28.0,16,25.0,0.391304347826087,0.6086956521739131,0.3902439024390244,0.6097560975609756
3319,earn,Neutral,43,74.0,26,36.0,0.36752136752136755,0.6324786324786325,0.41935483870967744,0.5806451612903226
3352,econom,Neutral,124,134.0,51,51.0,0.4806201550387597,0.5193798449612403,0.5,0.5
3357,economi,Neutral,285,328.0,82,88.0,0.46492659053833607,0.5350734094616639,0.4823529411764706,0.5176470588235295
3481,employ,Neutral,55,73.0,33,37.0,0.4296875,0.5703125,0.4714285714285714,0.5285714285714286
3607,equiti,Positive,53,44.0,32,34.0,0.5463917525773195,0.4536082474226804,0.48484848484848486,0.5151515151515151
3634,establish,Neutral,8,10.0,7,7.0,0.4444444444444444,0.5555555555555556,0.5,0.5
3721,exchang,Neutral,90,121.0,47,59.0,0.4265402843601896,0.5734597156398105,0.44339622641509435,0.5566037735849056
3775,expenditur,Neutral,24,11.0,22,10.0,0.6857142857142857,0.3142857142857143,0.6875,0.3125
4084,financ,Neutral,67,52.0,41,33.0,0.5630252100840336,0.4369747899159664,0.5540540540540541,0.44594594594594594
4086,financi,Neutral,149,183.0,64,63.0,0.44879518072289154,0.5512048192771084,0.5039370078740157,0.49606299212598426
4094,fine,Negative,18,16.0,16,16.0,0.5294117647058824,0.47058823529411764,0.5,0.5
4109,firm,Neutral,68,57.0,36,36.0,0.544,0.456,0.5,0.5
4121,fiscal,Neutral,44,39.0,27,26.0,0.5301204819277109,0.46987951807228917,0.5094339622641509,0.49056603773584906
4431,fund,Neutral,14,34.0,13,20.0,0.2916666666666667,0.7083333333333334,0.3939393939393939,0.6060606060606061
4639,good,Neutral,22,23.0,21,22.0,0.4888888888888889,0.5111111111111111,0.4883720930232558,0.5116279069767442
5359,incom,Neutral,65,48.0,33,30.0,0.5752212389380531,0.4247787610619469,0.5238095238095238,0.47619047619047616
5438,industri,Neutral,6,7.0,6,7.0,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.5384615384615384
5583,insur,Neutral,11,7.0,9,6.0,0.6111111111111112,0.3888888888888889,0.6,0.4
5611,interest,Neutral,223,218.0,67,64.0,0.5056689342403629,0.4943310657596372,0.5114503816793893,0.48854961832061067
5675,invest,Neutral,107,108.0,49,48.0,0.49767441860465117,0.5023255813953489,0.5051546391752577,0.4948453608247423
5766,job,Neutral,16,2.0,11,2.0,0.8888888888888888,0.1111111111111111,0.8461538461538461,0.15384615384615385
6126,liquid,Negative,5,13.0,4,7.0,0.2777777777777778,0.7222222222222222,0.36363636363636365,0.6363636363636364
6399,market,Neutral,347,455.0,86,89.0,0.43266832917705733,0.5673316708229427,0.49142857142857144,0.5085714285714286
6714,monetari,Neutral,250,195.0,64,64.0,0.5617977528089888,0.43820224719101125,0.5,0.5
6715,money,Neutral,34,52.0,23,28.0,0.3953488372093023,0.6046511627906976,0.45098039215686275,0.5490196078431373
6743,mortgag,Neutral,8,13.0,8,10.0,0.38095238095238093,0.6190476190476191,0.4444444444444444,0.5555555555555556
7144,oil,Neutral,72,91.0,33,51.0,0.44171779141104295,0.558282208588957,0.39285714285714285,0.6071428571428571
7278,output,Neutral,183,211.0,67,73.0,0.46446700507614214,0.5355329949238579,0.4785714285714286,0.5214285714285715
7444,partner,Positive,6,7.0,6,7.0,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.5384615384615384
7505,pay,Neutral,72,71.0,41,37.0,0.5034965034965035,0.4965034965034965,0.5256410256410257,0.47435897435897434
7945,press,Neutral,5,7.0,5,7.0,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5833333333333334
7977,price,Neutral,493,511.0,87,88.0,0.4910358565737052,0.5089641434262948,0.49714285714285716,0.5028571428571429
8039,produc,Neutral,13,21.0,12,17.0,0.38235294117647056,0.6176470588235294,0.41379310344827586,0.5862068965517241
8041,product,Neutral,43,90.0,27,42.0,0.3233082706766917,0.6766917293233082,0.391304347826087,0.6086956521739131
8051,profit,Positive,17,19.0,14,15.0,0.4722222222222222,0.5277777777777778,0.4827586206896552,0.5172413793103449
8168,purchas,Neutral,205,218.0,40,35.0,0.4846335697399527,0.5153664302600472,0.5333333333333333,0.4666666666666667
8267,rais,Neutral,47,74.0,29,47.0,0.3884297520661157,0.6115702479338843,0.3815789473684211,0.618421052631579
8340,real,Neutral,71,70.0,35,43.0,0.5035460992907801,0.49645390070921985,0.44871794871794873,0.5512820512820513
8683,retail,Neutral,40,45.0,28,33.0,0.47058823529411764,0.5294117647058824,0.45901639344262296,0.5409836065573771
