,Entry,sentiment,word_count_positive,word_count_negative,doc_count_positive,doc_count_negative,p percentage word,n percentage word,p percentage document,n percentage document
88,account,Neutral,46,47.0,33,30.0,0.4946236559139785,0.5053763440860215,0.5238095238095238,0.47619047619047616
302,agricultur,Neutral,5,10.0,5,10.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
725,associ,Postive,24,34.0,19,27.0,0.41379310344827586,0.5862068965517241,0.41304347826086957,0.5869565217391305
921,bank,Neutral,66,99.0,36,40.0,0.4,0.6,0.47368421052631576,0.5263157894736842
1197,board,Neutral,11,7.0,8,7.0,0.6111111111111112,0.3888888888888889,0.5333333333333333,0.4666666666666667
1431,busi,Neutral,101,83.0,56,51.0,0.5489130434782609,0.45108695652173914,0.5233644859813084,0.4766355140186916
1508,capit,Neutral,35,42.0,23,28.0,0.45454545454545453,0.5454545454545454,0.45098039215686275,0.5490196078431373
1984,commod,Neutral,60,57.0,35,38.0,0.5128205128205128,0.48717948717948717,0.4794520547945205,0.5205479452054794
2006,commun,Neutral,9,11.0,9,10.0,0.45,0.55,0.47368421052631576,0.5263157894736842
2012,compani,Neutral,12,18.0,11,13.0,0.4,0.6,0.4583333333333333,0.5416666666666666
2093,concern,Neutral,43,31.0,28,23.0,0.581081081081081,0.4189189189189189,0.5490196078431373,0.45098039215686275
2237,consum,Neutral,150,107.0,61,53.0,0.5836575875486382,0.4163424124513619,0.5350877192982456,0.4649122807017544
2239,consumpt,Neutral,157,108.0,59,50.0,0.5924528301886792,0.4075471698113208,0.5412844036697247,0.45871559633027525
2276,contract,Neutral,18,31.0,17,22.0,0.3673469387755102,0.6326530612244898,0.4358974358974359,0.5641025641025641
2347,corpor,Neutral,38,45.0,27,22.0,0.4578313253012048,0.5421686746987951,0.5510204081632653,0.4489795918367347
2370,cost,Negative,25,25.0,18,19.0,0.5,0.5,0.4864864864864865,0.5135135135135135
2451,credit,Neutral,36,41.0,26,24.0,0.4675324675324675,0.5324675324675324,0.52,0.48
2551,currenc,Neutral,9,7.0,7,5.0,0.5625,0.4375,0.5833333333333334,0.4166666666666667
2645,debt,Neutral,10,25.0,9,18.0,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666
2715,deficit,Negative,27,17.0,14,15.0,0.6136363636363636,0.38636363636363635,0.4827586206896552,0.5172413793103449
2805,depreci,Negative,9,13.0,8,9.0,0.4090909090909091,0.5909090909090909,0.47058823529411764,0.5294117647058824
3149,dollar,Neutral,58,53.0,33,29.0,0.5225225225225225,0.4774774774774775,0.532258064516129,0.46774193548387094
3279,due,Neutral,15,16.0,12,13.0,0.4838709677419355,0.5161290322580645,0.48,0.52
