,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
abat,8.0,12.0,22.0,0.2857142857142857,0.19047619047619047,0.6,0.4
abil,27.0,24.0,26.0,0.3116883116883117,0.35064935064935066,0.47058823529411764,0.5294117647058824
abl,32.0,36.0,35.0,0.34951456310679613,0.3106796116504854,0.5294117647058824,0.47058823529411764
abroad,37.0,25.0,22.0,0.2976190476190476,0.44047619047619047,0.4032258064516129,0.5967741935483871
abrupt,16.0,17.0,24.0,0.2982456140350877,0.2807017543859649,0.5151515151515151,0.48484848484848486
abruptli,5.0,5.0,4.0,0.35714285714285715,0.35714285714285715,0.5,0.5
absenc,35.0,30.0,35.0,0.3,0.35,0.46153846153846156,0.5384615384615384
absent,7.0,4.0,6.0,0.23529411764705882,0.4117647058823529,0.36363636363636365,0.6363636363636364
absolut,2.0,6.0,4.0,0.5,0.16666666666666666,0.75,0.25
absorb,26.0,16.0,47.0,0.1797752808988764,0.29213483146067415,0.38095238095238093,0.6190476190476191
absorpt,2.0,1.0,20.0,0.043478260869565216,0.08695652173913043,0.3333333333333333,0.6666666666666666
abstract,15.0,14.0,20.0,0.2857142857142857,0.30612244897959184,0.4827586206896552,0.5172413793103449
acceler,44.0,34.0,29.0,0.3177570093457944,0.411214953271028,0.4358974358974359,0.5641025641025641
accept,10.0,8.0,15.0,0.24242424242424243,0.30303030303030304,0.4444444444444444,0.5555555555555556
access,25.0,21.0,44.0,0.23333333333333334,0.2777777777777778,0.45652173913043476,0.5434782608695652
accommod,26.0,46.0,31.0,0.44660194174757284,0.2524271844660194,0.6388888888888888,0.3611111111111111
accompani,36.0,45.0,53.0,0.3358208955223881,0.26865671641791045,0.5555555555555556,0.4444444444444444
accord,77.0,68.0,76.0,0.3076923076923077,0.34841628959276016,0.4689655172413793,0.5310344827586206
accordingli,7.0,9.0,6.0,0.4090909090909091,0.3181818181818182,0.5625,0.4375
account,102.0,113.0,110.0,0.3476923076923077,0.31384615384615383,0.5255813953488372,0.4744186046511628
accumul,25.0,25.0,17.0,0.373134328358209,0.373134328358209,0.5,0.5
accur,3.0,9.0,4.0,0.5625,0.1875,0.75,0.25
achiev,42.0,34.0,58.0,0.2537313432835821,0.31343283582089554,0.4473684210526316,0.5526315789473685
acknowledg,8.0,4.0,11.0,0.17391304347826086,0.34782608695652173,0.3333333333333333,0.6666666666666666
acquisit,14.0,13.0,4.0,0.41935483870967744,0.45161290322580644,0.48148148148148145,0.5185185185185185
across,76.0,62.0,89.0,0.27312775330396477,0.33480176211453744,0.4492753623188406,0.5507246376811594
act,42.0,33.0,51.0,0.2619047619047619,0.3333333333333333,0.44,0.56
action,41.0,46.0,53.0,0.32857142857142857,0.29285714285714287,0.5287356321839081,0.47126436781609193
activ,117.0,117.0,114.0,0.33620689655172414,0.33620689655172414,0.5,0.5
actual,40.0,25.0,49.0,0.21929824561403508,0.3508771929824561,0.38461538461538464,0.6153846153846154
acut,9.0,4.0,8.0,0.19047619047619047,0.42857142857142855,0.3076923076923077,0.6923076923076923
ad,35.0,32.0,24.0,0.3516483516483517,0.38461538461538464,0.47761194029850745,0.5223880597014925
adam,10.0,17.0,2.0,0.5862068965517241,0.3448275862068966,0.6296296296296297,0.37037037037037035
add,33.0,26.0,20.0,0.3291139240506329,0.4177215189873418,0.4406779661016949,0.559322033898305
addit,89.0,92.0,89.0,0.34074074074074073,0.3296296296296296,0.5082872928176796,0.49171270718232046
address,7.0,10.0,13.0,0.3333333333333333,0.23333333333333334,0.5882352941176471,0.4117647058823529
adequaci,2.0,1.0,8.0,0.09090909090909091,0.18181818181818182,0.3333333333333333,0.6666666666666666
adjust,93.0,93.0,89.0,0.3381818181818182,0.3381818181818182,0.5,0.5
administ,3.0,4.0,15.0,0.18181818181818182,0.13636363636363635,0.5714285714285714,0.42857142857142855
administr,6.0,5.0,13.0,0.20833333333333334,0.25,0.45454545454545453,0.5454545454545454
adopt,6.0,8.0,6.0,0.4,0.3,0.5714285714285714,0.42857142857142855
advanc,73.0,69.0,85.0,0.3039647577092511,0.32158590308370044,0.4859154929577465,0.5140845070422535
advantag,9.0,8.0,8.0,0.32,0.36,0.47058823529411764,0.5294117647058824
advers,47.0,58.0,51.0,0.3717948717948718,0.30128205128205127,0.5523809523809524,0.44761904761904764
aei,16.0,8.0,6.0,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.6666666666666666
affect,106.0,100.0,98.0,0.32894736842105265,0.34868421052631576,0.4854368932038835,0.5145631067961165
afford,7.0,4.0,11.0,0.18181818181818182,0.3181818181818182,0.36363636363636365,0.6363636363636364
aftermath,6.0,12.0,17.0,0.34285714285714286,0.17142857142857143,0.6666666666666666,0.3333333333333333
age,15.0,16.0,13.0,0.36363636363636365,0.3409090909090909,0.5161290322580645,0.4838709677419355
agenc,12.0,17.0,22.0,0.3333333333333333,0.23529411764705882,0.5862068965517241,0.41379310344827586
agent,106.0,105.0,103.0,0.3343949044585987,0.3375796178343949,0.4976303317535545,0.5023696682464455
aggreg,81.0,78.0,69.0,0.34210526315789475,0.35526315789473684,0.49056603773584906,0.5094339622641509
aggress,14.0,4.0,4.0,0.18181818181818182,0.6363636363636364,0.2222222222222222,0.7777777777777778
ago,55.0,56.0,38.0,0.37583892617449666,0.3691275167785235,0.5045045045045045,0.4954954954954955
agre,86.0,73.0,98.0,0.2840466926070039,0.3346303501945525,0.4591194968553459,0.5408805031446541
agreement,22.0,12.0,40.0,0.16216216216216217,0.2972972972972973,0.35294117647058826,0.6470588235294118
agricultur,19.0,9.0,26.0,0.16666666666666666,0.35185185185185186,0.32142857142857145,0.6785714285714286
ahead,98.0,94.0,101.0,0.32081911262798635,0.33447098976109213,0.4895833333333333,0.5104166666666666
aid,5.0,2.0,6.0,0.15384615384615385,0.38461538461538464,0.2857142857142857,0.7142857142857143
aim,19.0,6.0,35.0,0.1,0.31666666666666665,0.24,0.76
air,7.0,5.0,4.0,0.3125,0.4375,0.4166666666666667,0.5833333333333334
aircraft,4.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
airfar,10.0,5.0,11.0,0.19230769230769232,0.38461538461538464,0.3333333333333333,0.6666666666666666
alan,5.0,9.0,4.0,0.5,0.2777777777777778,0.6428571428571429,0.35714285714285715
albeit,32.0,42.0,47.0,0.34710743801652894,0.2644628099173554,0.5675675675675675,0.43243243243243246
