,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
abl,10.0,4.0,8.0,0.18181818181818182,0.45454545454545453,0.2857142857142857,0.7142857142857143
abroad,9.0,6.0,2.0,0.35294117647058826,0.5294117647058824,0.4,0.6
acceler,8.0,1.0,4.0,0.07692307692307693,0.6153846153846154,0.1111111111111111,0.8888888888888888
access,6.0,1.0,6.0,0.07692307692307693,0.46153846153846156,0.14285714285714285,0.8571428571428571
accommod,5.0,5.0,8.0,0.2777777777777778,0.2777777777777778,0.5,0.5
accompani,8.0,6.0,11.0,0.24,0.32,0.42857142857142855,0.5714285714285714
accord,12.0,12.0,11.0,0.34285714285714286,0.34285714285714286,0.5,0.5
account,40.0,38.0,24.0,0.37254901960784315,0.39215686274509803,0.48717948717948717,0.5128205128205128
across,26.0,10.0,29.0,0.15384615384615385,0.4,0.2777777777777778,0.7222222222222222
action,7.0,4.0,11.0,0.18181818181818182,0.3181818181818182,0.36363636363636365,0.6363636363636364
activ,37.0,38.0,31.0,0.3584905660377358,0.3490566037735849,0.5066666666666667,0.49333333333333335
actual,4.0,5.0,8.0,0.29411764705882354,0.23529411764705882,0.5555555555555556,0.4444444444444444
addit,31.0,12.0,20.0,0.19047619047619047,0.49206349206349204,0.27906976744186046,0.7209302325581395
adjust,16.0,17.0,13.0,0.3695652173913043,0.34782608695652173,0.5151515151515151,0.48484848484848486
advanc,17.0,18.0,44.0,0.22784810126582278,0.21518987341772153,0.5142857142857142,0.4857142857142857
advers,9.0,4.0,6.0,0.21052631578947367,0.47368421052631576,0.3076923076923077,0.6923076923076923
affect,31.0,14.0,29.0,0.1891891891891892,0.4189189189189189,0.3111111111111111,0.6888888888888889
agenc,6.0,6.0,4.0,0.375,0.375,0.5,0.5
agent,7.0,4.0,15.0,0.15384615384615385,0.2692307692307692,0.36363636363636365,0.6363636363636364
aggreg,22.0,9.0,17.0,0.1875,0.4583333333333333,0.2903225806451613,0.7096774193548387
ago,9.0,8.0,8.0,0.32,0.36,0.47058823529411764,0.5294117647058824
agre,20.0,8.0,15.0,0.18604651162790697,0.46511627906976744,0.2857142857142857,0.7142857142857143
agreement,5.0,0.0,13.0,0.0,0.2777777777777778,0.0,1.0
ahead,19.0,16.0,26.0,0.26229508196721313,0.3114754098360656,0.45714285714285713,0.5428571428571428
albeit,7.0,4.0,2.0,0.3076923076923077,0.5384615384615384,0.36363636363636365,0.6363636363636364
almost,7.0,18.0,17.0,0.42857142857142855,0.16666666666666666,0.72,0.28
along,4.0,6.0,4.0,0.42857142857142855,0.2857142857142857,0.6,0.4
alongsid,5.0,2.0,13.0,0.1,0.25,0.2857142857142857,0.7142857142857143
alreadi,18.0,4.0,11.0,0.12121212121212122,0.5454545454545454,0.18181818181818182,0.8181818181818182
also,88.0,76.0,96.0,0.2923076923076923,0.3384615384615385,0.4634146341463415,0.5365853658536586
altern,6.0,9.0,2.0,0.5294117647058824,0.35294117647058826,0.6,0.4
although,64.0,54.0,92.0,0.2571428571428571,0.3047619047619048,0.4576271186440678,0.5423728813559322
among,12.0,10.0,6.0,0.35714285714285715,0.42857142857142855,0.45454545454545453,0.5454545454545454
amount,5.0,6.0,6.0,0.35294117647058826,0.29411764705882354,0.5454545454545454,0.45454545454545453
analysi,9.0,4.0,13.0,0.15384615384615385,0.34615384615384615,0.3076923076923077,0.6923076923076923
analyst,6.0,1.0,4.0,0.09090909090909091,0.5454545454545454,0.14285714285714285,0.8571428571428571
anecdot,7.0,2.0,2.0,0.18181818181818182,0.6363636363636364,0.2222222222222222,0.7777777777777778
announc,39.0,34.0,56.0,0.26356589147286824,0.3023255813953488,0.4657534246575342,0.5342465753424658
annual,9.0,9.0,6.0,0.375,0.375,0.5,0.5
anoth,18.0,10.0,8.0,0.2777777777777778,0.5,0.35714285714285715,0.6428571428571429
anticip,22.0,14.0,17.0,0.2641509433962264,0.41509433962264153,0.3888888888888889,0.6111111111111112
appar,18.0,13.0,2.0,0.3939393939393939,0.5454545454545454,0.41935483870967744,0.5806451612903226
appear,38.0,37.0,49.0,0.29838709677419356,0.3064516129032258,0.49333333333333335,0.5066666666666667
appetit,10.0,4.0,13.0,0.14814814814814814,0.37037037037037035,0.2857142857142857,0.7142857142857143
appreci,48.0,58.0,62.0,0.34523809523809523,0.2857142857142857,0.5471698113207547,0.4528301886792453
appropri,6.0,2.0,4.0,0.16666666666666666,0.5,0.25,0.75
april,17.0,26.0,22.0,0.4,0.26153846153846155,0.6046511627906976,0.3953488372093023
area,67.0,81.0,78.0,0.3584070796460177,0.29646017699115046,0.5472972972972973,0.4527027027027027
around,79.0,88.0,105.0,0.3235294117647059,0.29044117647058826,0.5269461077844312,0.47305389221556887
asian,6.0,8.0,0.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855
ass,21.0,12.0,11.0,0.2727272727272727,0.4772727272727273,0.36363636363636365,0.6363636363636364
asset,70.0,58.0,83.0,0.27488151658767773,0.33175355450236965,0.453125,0.546875
associ,31.0,24.0,26.0,0.2962962962962963,0.38271604938271603,0.43636363636363634,0.5636363636363636
assum,13.0,9.0,0.0,0.4090909090909091,0.5909090909090909,0.4090909090909091,0.5909090909090909
assumpt,11.0,6.0,8.0,0.24,0.44,0.35294117647058826,0.6470588235294118
attach,12.0,12.0,8.0,0.375,0.375,0.5,0.5
attribut,11.0,6.0,6.0,0.2608695652173913,0.4782608695652174,0.35294117647058826,0.6470588235294118
august,28.0,36.0,51.0,0.3130434782608696,0.24347826086956523,0.5625,0.4375
author,12.0,10.0,15.0,0.2702702702702703,0.32432432432432434,0.45454545454545453,0.5454545454545454
autumn,9.0,2.0,8.0,0.10526315789473684,0.47368421052631576,0.18181818181818182,0.8181818181818182
avail,16.0,5.0,13.0,0.14705882352941177,0.47058823529411764,0.23809523809523808,0.7619047619047619
averag,36.0,41.0,58.0,0.3037037037037037,0.26666666666666666,0.5324675324675324,0.4675324675324675
avers,6.0,5.0,6.0,0.29411764705882354,0.35294117647058826,0.45454545454545453,0.5454545454545454
back,55.0,25.0,53.0,0.18796992481203006,0.41353383458646614,0.3125,0.6875
backdrop,8.0,6.0,11.0,0.24,0.32,0.42857142857142855,0.5714285714285714
balanc,37.0,24.0,29.0,0.26666666666666666,0.4111111111111111,0.39344262295081966,0.6065573770491803
bank,92.0,80.0,107.0,0.2867383512544803,0.32974910394265233,0.46511627906976744,0.5348837209302325
base,15.0,14.0,13.0,0.3333333333333333,0.35714285714285715,0.4827586206896552,0.5172413793103449
basi,61.0,72.0,98.0,0.3116883116883117,0.26406926406926406,0.5413533834586466,0.45864661654135336
becom,23.0,17.0,17.0,0.2982456140350877,0.40350877192982454,0.425,0.575
began,0.0,2.0,11.0,0.15384615384615385,0.0,1.0,0.0
begin,20.0,20.0,17.0,0.3508771929824561,0.3508771929824561,0.5,0.5
begun,8.0,2.0,6.0,0.125,0.5,0.2,0.8
behind,6.0,0.0,8.0,0.0,0.42857142857142855,0.0,1.0
believ,6.0,5.0,2.0,0.38461538461538464,0.46153846153846156,0.45454545454545453,0.5454545454545454
benchmark,1.0,1.0,11.0,0.07692307692307693,0.07692307692307693,0.5,0.5
better,8.0,6.0,8.0,0.2727272727272727,0.36363636363636365,0.42857142857142855,0.5714285714285714
beyond,11.0,8.0,4.0,0.34782608695652173,0.4782608695652174,0.42105263157894735,0.5789473684210527
billion,12.0,4.0,29.0,0.08888888888888889,0.26666666666666666,0.25,0.75
bond,62.0,70.0,87.0,0.319634703196347,0.2831050228310502,0.5303030303030303,0.4696969696969697
boost,7.0,8.0,0.0,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4666666666666667
borrow,25.0,14.0,8.0,0.2978723404255319,0.5319148936170213,0.358974358974359,0.6410256410256411
breakeven,3.0,4.0,6.0,0.3076923076923077,0.23076923076923078,0.5714285714285714,0.42857142857142855
brent,2.0,5.0,4.0,0.45454545454545453,0.18181818181818182,0.7142857142857143,0.2857142857142857
brexit,4.0,0.0,11.0,0.0,0.26666666666666666,0.0,1.0
bring,6.0,5.0,4.0,0.3333333333333333,0.4,0.45454545454545453,0.5454545454545454
broad,16.0,12.0,13.0,0.2926829268292683,0.3902439024390244,0.42857142857142855,0.5714285714285714
broader,11.0,2.0,11.0,0.08333333333333333,0.4583333333333333,0.15384615384615385,0.8461538461538461
broadli,42.0,57.0,62.0,0.35403726708074534,0.2608695652173913,0.5757575757575758,0.42424242424242425
brought,4.0,5.0,13.0,0.22727272727272727,0.18181818181818182,0.5555555555555556,0.4444444444444444
budget,6.0,4.0,6.0,0.25,0.375,0.4,0.6
build,5.0,5.0,6.0,0.3125,0.3125,0.5,0.5
bund,9.0,0.0,4.0,0.0,0.6923076923076923,0.0,1.0
busi,15.0,5.0,29.0,0.10204081632653061,0.30612244897959184,0.25,0.75
capac,8.0,2.0,2.0,0.16666666666666666,0.6666666666666666,0.2,0.8
capit,21.0,18.0,15.0,0.3333333333333333,0.3888888888888889,0.46153846153846156,0.5384615384615384
case,15.0,14.0,22.0,0.27450980392156865,0.29411764705882354,0.4827586206896552,0.5172413793103449
cash,4.0,1.0,6.0,0.09090909090909091,0.36363636363636365,0.2,0.8
caus,15.0,12.0,13.0,0.3,0.375,0.4444444444444444,0.5555555555555556
cd,7.0,5.0,8.0,0.25,0.35,0.4166666666666667,0.5833333333333334
central,32.0,40.0,35.0,0.37383177570093457,0.29906542056074764,0.5555555555555556,0.4444444444444444
chanc,2.0,1.0,11.0,0.07142857142857142,0.14285714285714285,0.3333333333333333,0.6666666666666666
chang,78.0,70.0,83.0,0.30303030303030304,0.33766233766233766,0.47297297297297297,0.527027027027027
china,11.0,5.0,15.0,0.16129032258064516,0.3548387096774194,0.3125,0.6875
chine,6.0,1.0,8.0,0.06666666666666667,0.4,0.14285714285714285,0.8571428571428571
class,2.0,1.0,13.0,0.0625,0.125,0.3333333333333333,0.6666666666666666
clear,18.0,14.0,15.0,0.2978723404255319,0.3829787234042553,0.4375,0.5625
close,28.0,29.0,31.0,0.32954545454545453,0.3181818181818182,0.5087719298245614,0.49122807017543857
coincid,5.0,4.0,2.0,0.36363636363636365,0.45454545454545453,0.4444444444444444,0.5555555555555556
combin,5.0,8.0,11.0,0.3333333333333333,0.20833333333333334,0.6153846153846154,0.38461538461538464
come,16.0,10.0,22.0,0.20833333333333334,0.3333333333333333,0.38461538461538464,0.6153846153846154
comment,17.0,20.0,15.0,0.38461538461538464,0.3269230769230769,0.5405405405405406,0.4594594594594595
