,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
abl,2.0,1.0,8.0,0.09090909090909091,0.18181818181818182,0.3333333333333333,0.6666666666666666
absorb,5.0,5.0,17.0,0.18518518518518517,0.18518518518518517,0.5,0.5
acceler,8.0,1.0,2.0,0.09090909090909091,0.7272727272727273,0.1111111111111111,0.8888888888888888
accommod,7.0,8.0,8.0,0.34782608695652173,0.30434782608695654,0.5333333333333333,0.4666666666666667
accompani,7.0,14.0,15.0,0.3888888888888889,0.19444444444444445,0.6666666666666666,0.3333333333333333
account,19.0,16.0,15.0,0.32,0.38,0.45714285714285713,0.5428571428571428
achiev,15.0,10.0,8.0,0.30303030303030304,0.45454545454545453,0.4,0.6
act,8.0,4.0,6.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.6666666666666666
action,7.0,2.0,6.0,0.13333333333333333,0.4666666666666667,0.2222222222222222,0.7777777777777778
activ,29.0,37.0,42.0,0.3425925925925926,0.26851851851851855,0.5606060606060606,0.4393939393939394
actual,11.0,0.0,2.0,0.0,0.8461538461538461,0.0,1.0
addit,8.0,12.0,20.0,0.3,0.2,0.6,0.4
adjust,19.0,29.0,17.0,0.4461538461538462,0.2923076923076923,0.6041666666666666,0.3958333333333333
advanc,7.0,1.0,4.0,0.08333333333333333,0.5833333333333334,0.125,0.875
advers,7.0,9.0,11.0,0.3333333333333333,0.25925925925925924,0.5625,0.4375
affect,17.0,17.0,15.0,0.3469387755102041,0.3469387755102041,0.5,0.5
aggreg,6.0,6.0,2.0,0.42857142857142855,0.42857142857142855,0.5,0.5
ago,4.0,4.0,6.0,0.2857142857142857,0.2857142857142857,0.5,0.5
agre,28.0,18.0,20.0,0.2727272727272727,0.42424242424242425,0.391304347826087,0.6086956521739131
ahead,11.0,14.0,22.0,0.2978723404255319,0.23404255319148937,0.56,0.44
alongsid,3.0,2.0,11.0,0.125,0.1875,0.4,0.6
alreadi,9.0,8.0,4.0,0.38095238095238093,0.42857142857142855,0.47058823529411764,0.5294117647058824
also,42.0,46.0,56.0,0.3194444444444444,0.2916666666666667,0.5227272727272727,0.4772727272727273
altern,9.0,10.0,6.0,0.4,0.36,0.5263157894736842,0.47368421052631576
although,28.0,22.0,29.0,0.27848101265822783,0.35443037974683544,0.44,0.56
alway,7.0,1.0,4.0,0.08333333333333333,0.5833333333333334,0.125,0.875
among,20.0,13.0,11.0,0.29545454545454547,0.45454545454545453,0.3939393939393939,0.6060606060606061
analysi,7.0,2.0,2.0,0.18181818181818182,0.6363636363636364,0.2222222222222222,0.7777777777777778
announc,10.0,6.0,20.0,0.16666666666666666,0.2777777777777778,0.375,0.625
annual,9.0,9.0,11.0,0.3103448275862069,0.3103448275862069,0.5,0.5
anticip,5.0,6.0,17.0,0.21428571428571427,0.17857142857142858,0.5454545454545454,0.45454545454545453
appear,23.0,16.0,15.0,0.2962962962962963,0.42592592592592593,0.41025641025641024,0.5897435897435898
appreci,14.0,9.0,17.0,0.225,0.35,0.391304347826087,0.6086956521739131
appropri,23.0,16.0,31.0,0.22857142857142856,0.32857142857142857,0.41025641025641024,0.5897435897435898
area,18.0,6.0,8.0,0.1875,0.5625,0.25,0.75
around,50.0,45.0,53.0,0.30405405405405406,0.33783783783783783,0.47368421052631576,0.5263157894736842
arrang,6.0,9.0,11.0,0.34615384615384615,0.23076923076923078,0.6,0.4
ass,16.0,21.0,8.0,0.4666666666666667,0.35555555555555557,0.5675675675675675,0.43243243243243246
asset,23.0,22.0,40.0,0.25882352941176473,0.27058823529411763,0.4888888888888889,0.5111111111111111
associ,12.0,9.0,22.0,0.20930232558139536,0.27906976744186046,0.42857142857142855,0.5714285714285714
assum,23.0,26.0,24.0,0.3561643835616438,0.3150684931506849,0.5306122448979592,0.46938775510204084
assumpt,40.0,42.0,33.0,0.3652173913043478,0.34782608695652173,0.5121951219512195,0.4878048780487805
attach,7.0,13.0,2.0,0.5909090909090909,0.3181818181818182,0.65,0.35
attempt,3.0,6.0,2.0,0.5454545454545454,0.2727272727272727,0.6666666666666666,0.3333333333333333
august,22.0,21.0,17.0,0.35,0.36666666666666664,0.4883720930232558,0.5116279069767442
automat,5.0,0.0,6.0,0.0,0.45454545454545453,0.0,1.0
avail,6.0,6.0,4.0,0.375,0.375,0.5,0.5
averag,33.0,33.0,31.0,0.3402061855670103,0.3402061855670103,0.5,0.5
back,24.0,32.0,31.0,0.367816091954023,0.27586206896551724,0.5714285714285714,0.42857142857142855
backdrop,5.0,0.0,8.0,0.0,0.38461538461538464,0.0,1.0
balanc,47.0,53.0,40.0,0.37857142857142856,0.3357142857142857,0.53,0.47
bank,44.0,32.0,51.0,0.25196850393700787,0.3464566929133858,0.42105263157894735,0.5789473684210527
base,14.0,21.0,20.0,0.38181818181818183,0.2545454545454545,0.6,0.4
basi,17.0,25.0,6.0,0.5208333333333334,0.3541666666666667,0.5952380952380952,0.40476190476190477
bear,5.0,8.0,2.0,0.5333333333333333,0.3333333333333333,0.6153846153846154,0.38461538461538464
becom,6.0,5.0,8.0,0.2631578947368421,0.3157894736842105,0.45454545454545453,0.5454545454545454
begin,14.0,2.0,11.0,0.07407407407407407,0.5185185185185185,0.125,0.875
behaviour,1.0,5.0,6.0,0.4166666666666667,0.08333333333333333,0.8333333333333334,0.16666666666666666
best,16.0,16.0,11.0,0.37209302325581395,0.37209302325581395,0.5,0.5
beyond,2.0,4.0,6.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333
billion,25.0,24.0,44.0,0.25806451612903225,0.26881720430107525,0.4897959183673469,0.5102040816326531
bond,11.0,16.0,33.0,0.26666666666666666,0.18333333333333332,0.5925925925925926,0.4074074074074074
boost,11.0,17.0,11.0,0.4358974358974359,0.28205128205128205,0.6071428571428571,0.39285714285714285
borrow,4.0,4.0,6.0,0.2857142857142857,0.2857142857142857,0.5,0.5
brexit,5.0,5.0,15.0,0.2,0.2,0.5,0.5
broad,10.0,5.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
broadli,29.0,45.0,33.0,0.4205607476635514,0.27102803738317754,0.6081081081081081,0.3918918918918919
budget,10.0,9.0,2.0,0.42857142857142855,0.47619047619047616,0.47368421052631576,0.5263157894736842
build,8.0,4.0,22.0,0.11764705882352941,0.23529411764705882,0.3333333333333333,0.6666666666666666
busi,28.0,28.0,47.0,0.27184466019417475,0.27184466019417475,0.5,0.5
cannot,0.0,9.0,2.0,0.8181818181818182,0.0,1.0,0.0
capac,27.0,30.0,24.0,0.37037037037037035,0.3333333333333333,0.5263157894736842,0.47368421052631576
capit,5.0,5.0,13.0,0.21739130434782608,0.21739130434782608,0.5,0.5
case,19.0,12.0,15.0,0.2608695652173913,0.41304347826086957,0.3870967741935484,0.6129032258064516
caus,7.0,9.0,13.0,0.3103448275862069,0.2413793103448276,0.5625,0.4375
central,53.0,56.0,56.0,0.3393939393939394,0.3212121212121212,0.5137614678899083,0.48623853211009177
challeng,3.0,0.0,8.0,0.0,0.2727272727272727,0.0,1.0
chanc,6.0,5.0,4.0,0.3333333333333333,0.4,0.45454545454545453,0.5454545454545454
chancellor,4.0,8.0,2.0,0.5714285714285714,0.2857142857142857,0.6666666666666666,0.3333333333333333
chang,36.0,42.0,26.0,0.40384615384615385,0.34615384615384615,0.5384615384615384,0.46153846153846156
chart,13.0,6.0,6.0,0.24,0.52,0.3157894736842105,0.6842105263157895
china,5.0,0.0,8.0,0.0,0.38461538461538464,0.0,1.0
circumst,15.0,14.0,20.0,0.2857142857142857,0.30612244897959184,0.4827586206896552,0.5172413793103449
