,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
abil,8.0,5.0,2.0,0.3333333333333333,0.5333333333333333,0.38461538461538464,0.6153846153846154
abl,3.0,12.0,4.0,0.631578947368421,0.15789473684210525,0.8,0.2
abroad,7.0,2.0,4.0,0.15384615384615385,0.5384615384615384,0.2222222222222222,0.7777777777777778
absenc,9.0,8.0,4.0,0.38095238095238093,0.42857142857142855,0.47058823529411764,0.5294117647058824
abstract,7.0,6.0,11.0,0.25,0.2916666666666667,0.46153846153846156,0.5384615384615384
acceler,11.0,13.0,13.0,0.35135135135135137,0.2972972972972973,0.5416666666666666,0.4583333333333333
access,14.0,16.0,17.0,0.3404255319148936,0.2978723404255319,0.5333333333333333,0.4666666666666667
accommod,4.0,6.0,4.0,0.42857142857142855,0.2857142857142857,0.6,0.4
accompani,4.0,5.0,2.0,0.45454545454545453,0.36363636363636365,0.5555555555555556,0.4444444444444444
accord,43.0,44.0,33.0,0.36666666666666664,0.35833333333333334,0.5057471264367817,0.4942528735632184
account,65.0,64.0,69.0,0.32323232323232326,0.3282828282828283,0.49612403100775193,0.5038759689922481
accumul,9.0,2.0,8.0,0.10526315789473684,0.47368421052631576,0.18181818181818182,0.8181818181818182
achiev,4.0,5.0,2.0,0.45454545454545453,0.36363636363636365,0.5555555555555556,0.4444444444444444
acquisit,9.0,4.0,2.0,0.26666666666666666,0.6,0.3076923076923077,0.6923076923076923
across,24.0,18.0,26.0,0.2647058823529412,0.35294117647058826,0.42857142857142855,0.5714285714285714
act,8.0,4.0,13.0,0.16,0.32,0.3333333333333333,0.6666666666666666
action,2.0,4.0,6.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333
activ,101.0,94.0,89.0,0.33098591549295775,0.35563380281690143,0.48205128205128206,0.517948717948718
actual,8.0,9.0,0.0,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.47058823529411764
ad,6.0,6.0,8.0,0.3,0.3,0.5,0.5
