,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
abil,4.0,3.0,4.0,0.2727272727272727,0.36363636363636365,0.42857142857142855,0.5714285714285714
abl,11.0,6.0,2.0,0.3157894736842105,0.5789473684210527,0.35294117647058826,0.6470588235294118
absenc,5.0,2.0,4.0,0.18181818181818182,0.45454545454545453,0.2857142857142857,0.7142857142857143
absorb,4.0,3.0,5.0,0.25,0.3333333333333333,0.42857142857142855,0.5714285714285714
acceler,9.0,4.0,5.0,0.2222222222222222,0.5,0.3076923076923077,0.6923076923076923
accompani,12.0,6.0,8.0,0.23076923076923078,0.46153846153846156,0.3333333333333333,0.6666666666666666
accord,44.0,30.0,18.0,0.32608695652173914,0.4782608695652174,0.40540540540540543,0.5945945945945946
account,45.0,35.0,23.0,0.33980582524271846,0.4368932038834951,0.4375,0.5625
across,18.0,11.0,13.0,0.2619047619047619,0.42857142857142855,0.3793103448275862,0.6206896551724138
act,10.0,4.0,3.0,0.23529411764705882,0.5882352941176471,0.2857142857142857,0.7142857142857143
activ,26.0,17.0,8.0,0.3333333333333333,0.5098039215686274,0.3953488372093023,0.6046511627906976
actual,12.0,6.0,4.0,0.2727272727272727,0.5454545454545454,0.3333333333333333,0.6666666666666666
add,12.0,8.0,5.0,0.32,0.48,0.4,0.6
addit,27.0,15.0,13.0,0.2727272727272727,0.4909090909090909,0.35714285714285715,0.6428571428571429
adjust,27.0,13.0,11.0,0.2549019607843137,0.5294117647058824,0.325,0.675
advanc,31.0,31.0,14.0,0.40789473684210525,0.40789473684210525,0.5,0.5
aei,15.0,6.0,3.0,0.25,0.625,0.2857142857142857,0.7142857142857143
affect,32.0,29.0,20.0,0.35802469135802467,0.3950617283950617,0.47540983606557374,0.5245901639344263
age,11.0,9.0,6.0,0.34615384615384615,0.4230769230769231,0.45,0.55
agenc,4.0,5.0,4.0,0.38461538461538464,0.3076923076923077,0.5555555555555556,0.4444444444444444
agent,71.0,49.0,24.0,0.3402777777777778,0.4930555555555556,0.4083333333333333,0.5916666666666667
aggreg,20.0,17.0,12.0,0.3469387755102041,0.40816326530612246,0.4594594594594595,0.5405405405405406
ago,25.0,13.0,4.0,0.30952380952380953,0.5952380952380952,0.34210526315789475,0.6578947368421053
