,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
abat,3.0,5.0,4.0,0.4166666666666667,0.25,0.625,0.375
abil,9.0,5.0,5.0,0.2631578947368421,0.47368421052631576,0.35714285714285715,0.6428571428571429
abl,13.0,7.0,9.0,0.2413793103448276,0.4482758620689655,0.35,0.65
abroad,18.0,10.0,6.0,0.29411764705882354,0.5294117647058824,0.35714285714285715,0.6428571428571429
abrupt,9.0,10.0,8.0,0.37037037037037035,0.3333333333333333,0.5263157894736842,0.47368421052631576
absenc,14.0,10.0,9.0,0.30303030303030304,0.42424242424242425,0.4166666666666667,0.5833333333333334
absorb,16.0,7.0,17.0,0.175,0.4,0.30434782608695654,0.6956521739130435
abstract,5.0,5.0,3.0,0.38461538461538464,0.38461538461538464,0.5,0.5
acceler,14.0,9.0,5.0,0.32142857142857145,0.5,0.391304347826087,0.6086956521739131
access,2.0,4.0,8.0,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.3333333333333333
accommod,14.0,24.0,8.0,0.5217391304347826,0.30434782608695654,0.631578947368421,0.3684210526315789
accompani,13.0,14.0,11.0,0.3684210526315789,0.34210526315789475,0.5185185185185185,0.48148148148148145
accord,3.0,6.0,7.0,0.375,0.1875,0.6666666666666666,0.3333333333333333
account,40.0,27.0,19.0,0.313953488372093,0.46511627906976744,0.40298507462686567,0.5970149253731343
accumul,7.0,13.0,4.0,0.5416666666666666,0.2916666666666667,0.65,0.35
achiev,23.0,14.0,22.0,0.23728813559322035,0.3898305084745763,0.3783783783783784,0.6216216216216216
across,16.0,4.0,13.0,0.12121212121212122,0.48484848484848486,0.2,0.8
act,21.0,13.0,11.0,0.28888888888888886,0.4666666666666667,0.38235294117647056,0.6176470588235294
action,28.0,22.0,20.0,0.3142857142857143,0.4,0.44,0.56
activ,97.0,78.0,46.0,0.35294117647058826,0.43891402714932126,0.44571428571428573,0.5542857142857143
actual,19.0,5.0,17.0,0.12195121951219512,0.4634146341463415,0.20833333333333334,0.7916666666666666
ad,18.0,10.0,3.0,0.3225806451612903,0.5806451612903226,0.35714285714285715,0.6428571428571429
adam,10.0,13.0,1.0,0.5416666666666666,0.4166666666666667,0.5652173913043478,0.43478260869565216
add,13.0,7.0,3.0,0.30434782608695654,0.5652173913043478,0.35,0.65
addit,46.0,36.0,31.0,0.3185840707964602,0.40707964601769914,0.43902439024390244,0.5609756097560976
address,4.0,3.0,5.0,0.25,0.3333333333333333,0.42857142857142855,0.5714285714285714
adjust,42.0,33.0,23.0,0.336734693877551,0.42857142857142855,0.44,0.56
administ,2.0,3.0,7.0,0.25,0.16666666666666666,0.6,0.4
advanc,32.0,9.0,19.0,0.15,0.5333333333333333,0.21951219512195122,0.7804878048780488
advers,18.0,24.0,10.0,0.46153846153846156,0.34615384615384615,0.5714285714285714,0.42857142857142855
affect,54.0,36.0,27.0,0.3076923076923077,0.46153846153846156,0.4,0.6
agent,29.0,12.0,12.0,0.22641509433962265,0.5471698113207547,0.2926829268292683,0.7073170731707317
aggreg,25.0,18.0,11.0,0.3333333333333333,0.46296296296296297,0.4186046511627907,0.5813953488372093
ago,22.0,18.0,5.0,0.4,0.4888888888888889,0.45,0.55
agre,66.0,44.0,40.0,0.29333333333333333,0.44,0.4,0.6
agreement,6.0,3.0,7.0,0.1875,0.375,0.3333333333333333,0.6666666666666666
ahead,34.0,27.0,29.0,0.3,0.37777777777777777,0.4426229508196721,0.5573770491803278
aim,9.0,0.0,11.0,0.0,0.45,0.0,1.0
alan,5.0,7.0,2.0,0.5,0.35714285714285715,0.5833333333333334,0.4166666666666667
albeit,7.0,11.0,8.0,0.4230769230769231,0.2692307692307692,0.6111111111111112,0.3888888888888889
allow,25.0,19.0,13.0,0.3333333333333333,0.43859649122807015,0.4318181818181818,0.5681818181818182
allsopp,17.0,8.0,2.0,0.2962962962962963,0.6296296296296297,0.32,0.68
almost,6.0,3.0,4.0,0.23076923076923078,0.46153846153846156,0.3333333333333333,0.6666666666666666
alongsid,14.0,10.0,17.0,0.24390243902439024,0.34146341463414637,0.4166666666666667,0.5833333333333334
alreadi,50.0,25.0,24.0,0.25252525252525254,0.5050505050505051,0.3333333333333333,0.6666666666666666
also,104.0,72.0,43.0,0.3287671232876712,0.4748858447488584,0.4090909090909091,0.5909090909090909
alter,14.0,12.0,6.0,0.375,0.4375,0.46153846153846156,0.5384615384615384
altern,10.0,4.0,6.0,0.2,0.5,0.2857142857142857,0.7142857142857143
although,104.0,72.0,44.0,0.32727272727272727,0.4727272727272727,0.4090909090909091,0.5909090909090909
among,25.0,14.0,10.0,0.2857142857142857,0.5102040816326531,0.358974358974359,0.6410256410256411
