,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
abil,6.0,5.0,8.0,0.2631578947368421,0.3157894736842105,0.45454545454545453,0.5454545454545454
absenc,7.0,4.0,2.0,0.3076923076923077,0.5384615384615384,0.36363636363636365,0.6363636363636364
acceler,9.0,12.0,2.0,0.5217391304347826,0.391304347826087,0.5714285714285714,0.42857142857142855
accommod,3.0,4.0,4.0,0.36363636363636365,0.2727272727272727,0.5714285714285714,0.42857142857142855
accompani,1.0,9.0,6.0,0.5625,0.0625,0.9,0.1
accord,25.0,17.0,17.0,0.288135593220339,0.423728813559322,0.40476190476190477,0.5952380952380952
account,40.0,44.0,42.0,0.3492063492063492,0.31746031746031744,0.5238095238095238,0.47619047619047616
across,23.0,37.0,33.0,0.3978494623655914,0.24731182795698925,0.6166666666666667,0.38333333333333336
act,3.0,8.0,11.0,0.36363636363636365,0.13636363636363635,0.7272727272727273,0.2727272727272727
action,8.0,13.0,6.0,0.48148148148148145,0.2962962962962963,0.6190476190476191,0.38095238095238093
activ,83.0,102.0,92.0,0.36823104693140796,0.2996389891696751,0.5513513513513514,0.4486486486486487
ad,6.0,10.0,2.0,0.5555555555555556,0.3333333333333333,0.625,0.375
addit,22.0,24.0,20.0,0.36363636363636365,0.3333333333333333,0.5217391304347826,0.4782608695652174
adjust,21.0,20.0,17.0,0.3448275862068966,0.3620689655172414,0.4878048780487805,0.5121951219512195
administr,6.0,2.0,4.0,0.16666666666666666,0.5,0.25,0.75
advanc,21.0,22.0,38.0,0.2716049382716049,0.25925925925925924,0.5116279069767442,0.4883720930232558
advers,9.0,17.0,17.0,0.3953488372093023,0.20930232558139536,0.6538461538461539,0.34615384615384615
affect,42.0,40.0,26.0,0.37037037037037035,0.3888888888888889,0.4878048780487805,0.5121951219512195
aggreg,15.0,16.0,11.0,0.38095238095238093,0.35714285714285715,0.5161290322580645,0.4838709677419355
ago,14.0,20.0,6.0,0.5,0.35,0.5882352941176471,0.4117647058823529
agre,21.0,16.0,26.0,0.25396825396825395,0.3333333333333333,0.43243243243243246,0.5675675675675675
agreement,11.0,2.0,17.0,0.06666666666666667,0.36666666666666664,0.15384615384615385,0.8461538461538461
agricultur,13.0,6.0,24.0,0.13953488372093023,0.3023255813953488,0.3157894736842105,0.6842105263157895
ahead,16.0,21.0,13.0,0.42,0.32,0.5675675675675675,0.43243243243243246
albeit,4.0,18.0,11.0,0.5454545454545454,0.12121212121212122,0.8181818181818182,0.18181818181818182
almost,7.0,21.0,11.0,0.5384615384615384,0.1794871794871795,0.75,0.25
alongsid,9.0,4.0,6.0,0.21052631578947367,0.47368421052631576,0.3076923076923077,0.6923076923076923
alreadi,15.0,16.0,20.0,0.3137254901960784,0.29411764705882354,0.5161290322580645,0.4838709677419355
also,90.0,90.0,74.0,0.3543307086614173,0.3543307086614173,0.5,0.5
although,77.0,76.0,71.0,0.3392857142857143,0.34375,0.49673202614379086,0.5032679738562091
america,6.0,4.0,13.0,0.17391304347826086,0.2608695652173913,0.4,0.6
among,10.0,9.0,6.0,0.36,0.4,0.47368421052631576,0.5263157894736842
analysi,5.0,8.0,0.0,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.38461538461538464
announc,26.0,17.0,42.0,0.2,0.3058823529411765,0.3953488372093023,0.6046511627906976
annual,26.0,22.0,33.0,0.2716049382716049,0.32098765432098764,0.4583333333333333,0.5416666666666666
anoth,8.0,2.0,2.0,0.16666666666666666,0.6666666666666666,0.2,0.8
anticip,11.0,14.0,15.0,0.35,0.275,0.56,0.44
anyth,8.0,5.0,2.0,0.3333333333333333,0.5333333333333333,0.38461538461538464,0.6153846153846154
appar,14.0,8.0,11.0,0.24242424242424243,0.42424242424242425,0.36363636363636365,0.6363636363636364
appear,58.0,53.0,53.0,0.3231707317073171,0.35365853658536583,0.4774774774774775,0.5225225225225225
appreci,15.0,21.0,6.0,0.5,0.35714285714285715,0.5833333333333334,0.4166666666666667
april,25.0,30.0,26.0,0.37037037037037035,0.30864197530864196,0.5454545454545454,0.45454545454545453
area,107.0,114.0,98.0,0.3573667711598746,0.335423197492163,0.5158371040723982,0.4841628959276018
argentina,8.0,2.0,4.0,0.14285714285714285,0.5714285714285714,0.2,0.8
aris,2.0,5.0,4.0,0.45454545454545453,0.18181818181818182,0.7142857142857143,0.2857142857142857
around,58.0,61.0,78.0,0.3096446700507614,0.29441624365482233,0.5126050420168067,0.48739495798319327
asia,45.0,65.0,20.0,0.5,0.34615384615384615,0.5909090909090909,0.4090909090909091
