,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
aaa,1.0,0.0,0.0,1.8172171069016227e-06,0.0,-1.0,0.0,1.0
ab,3.0,7.0,0.0,3.3534038272917253e-06,6.812304501361029e-06,4.0,0.7,0.3
abandon,1.0,0.0,0.0,3.6344342138032454e-06,0.0,-1.0,0.0,1.0
abat,7.0,9.0,17.0,0.0,0.0,2.0,0.2727272727272727,0.21212121212121213
abcp,0.0,5.0,0.0,0.0,1.3184297118972893e-05,5.0,1.0,0.0
abil,26.0,23.0,26.0,0.0,0.0,-3.0,0.30666666666666664,0.3466666666666667
abl,32.0,35.0,35.0,0.0,0.0,3.0,0.3431372549019608,0.3137254901960784
abnorm,1.0,2.0,6.0,0.0,0.0,1.0,0.2222222222222222,0.1111111111111111
abolit,1.0,0.0,3.0,1.34136153091669e-06,0.0,-1.0,0.0,0.25
abroad,31.0,21.0,17.0,0.0,0.0,-10.0,0.30434782608695654,0.4492753623188406
abrupt,17.0,15.0,17.0,0.0,0.0,-2.0,0.30612244897959184,0.3469387755102041
abruptli,3.0,6.0,3.0,0.0,0.0,3.0,0.5,0.25
absenc,32.0,23.0,24.0,0.0,0.0,-9.0,0.2911392405063291,0.4050632911392405
absent,6.0,3.0,4.0,0.0,0.0,-3.0,0.23076923076923078,0.46153846153846156
absolut,2.0,5.0,4.0,0.0,0.0,3.0,0.45454545454545453,0.18181818181818182
absorb,23.0,20.0,73.0,0.0,0.0,-3.0,0.1724137931034483,0.19827586206896552
absorpt,2.0,2.0,15.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684
abstract,12.0,15.0,19.0,0.0,0.0,3.0,0.32608695652173914,0.2608695652173913
abund,2.0,0.0,1.0,2.0120422963750354e-06,0.0,-2.0,0.0,0.6666666666666666
academ,1.0,1.0,0.0,1.34136153091669e-06,9.731863573372898e-07,0.0,0.5,0.5
acceler,46.0,36.0,40.0,0.0,0.0,-10.0,0.29508196721311475,0.3770491803278688
accentu,4.0,4.0,0.0,4.024084592750071e-06,3.892745429349159e-06,0.0,0.5,0.5
accept,8.0,8.0,10.0,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077
access,23.0,30.0,46.0,0.0,0.0,7.0,0.30303030303030304,0.23232323232323232
accessori,1.0,0.0,0.0,1.8172171069016227e-06,0.0,-1.0,0.0,1.0
accommod,26.0,51.0,36.0,0.0,0.0,25.0,0.45132743362831856,0.23008849557522124
