,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
ab,0.0,6.0,0.0,0.0,0.0001972798241553287,6.0,1.0,0.0
abat,1.0,0.0,3.0,8.735118758652772e-06,0.0,-1.0,0.0,0.25
abcp,0.0,4.0,0.0,0.0,0.00013151988277021915,4.0,1.0,0.0
abil,1.0,0.0,5.0,8.735118758652772e-06,0.0,-1.0,0.0,0.16666666666666666
abl,1.0,2.0,7.0,0.0,0.0,1.0,0.2,0.1
abnorm,0.0,1.0,0.0,0.0,3.2879970692554787e-05,1.0,1.0,0.0
abroad,5.0,1.0,1.0,0.0,0.0,-4.0,0.14285714285714285,0.7142857142857143
abrupt,4.0,0.0,1.0,5.2410712551916635e-05,0.0,-4.0,0.0,0.8
abruptli,0.0,1.0,0.0,0.0,3.2879970692554787e-05,1.0,1.0,0.0
absenc,6.0,0.0,0.0,0.00018934322326292472,0.0,-6.0,0.0,1.0
absolut,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
absorb,4.0,5.0,19.0,0.0,0.0,1.0,0.17857142857142858,0.14285714285714285
absorpt,0.0,1.0,1.0,0.0,1.2135018886064452e-05,1.0,0.5,0.0
abstract,1.0,2.0,0.0,8.735118758652772e-06,2.4270037772128903e-05,1.0,0.6666666666666666,0.3333333333333333
abund,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
acceler,6.0,1.0,3.0,0.0,0.0,-5.0,0.1,0.6
accept,1.0,0.0,0.0,2.366790290786559e-05,0.0,-1.0,0.0,1.0
access,0.0,1.0,4.0,0.0,1.2135018886064452e-05,1.0,0.2,0.0
accommod,5.0,7.0,8.0,0.0,0.0,2.0,0.35,0.25
accompani,5.0,13.0,12.0,0.0,0.0,8.0,0.43333333333333335,0.16666666666666666
accord,1.0,2.0,3.0,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666
accordingli,0.0,1.0,0.0,0.0,3.2879970692554787e-05,1.0,1.0,0.0
account,17.0,14.0,14.0,0.0,0.0,-3.0,0.3111111111111111,0.37777777777777777
accru,1.0,0.0,0.0,4.733580581573118e-05,0.0,-1.0,0.0,1.0
accumul,4.0,1.0,0.0,5.2410712551916635e-05,1.2135018886064452e-05,-3.0,0.2,0.8
achiev,13.0,11.0,5.0,0.0,0.0,-2.0,0.3793103448275862,0.4482758620689655
acquisit,1.0,0.0,0.0,2.366790290786559e-05,0.0,-1.0,0.0,1.0
across,1.0,1.0,5.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
act,6.0,3.0,4.0,0.0,0.0,-3.0,0.23076923076923078,0.46153846153846156
action,6.0,2.0,18.0,0.0,0.0,-4.0,0.07692307692307693,0.23076923076923078
activ,39.0,55.0,83.0,0.0,0.0,16.0,0.3107344632768362,0.22033898305084745
actual,9.0,0.0,1.0,0.00010482142510383327,0.0,-9.0,0.0,0.9
ad,3.0,1.0,0.0,3.494047503461109e-05,1.2135018886064452e-05,-2.0,0.25,0.75
add,1.0,3.0,0.0,8.735118758652772e-06,3.640505665819335e-05,2.0,0.75,0.25
