,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
abat,1.0,0.0,7.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.125
abil,5.0,4.0,2.0,0.0,0.0,-1.0,0.36363636363636365,0.45454545454545453
abl,2.0,11.0,3.0,0.0,0.0,9.0,0.6875,0.125
abnorm,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
abolit,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
abroad,6.0,2.0,5.0,0.0,0.0,-4.0,0.15384615384615385,0.46153846153846156
abrupt,5.0,2.0,2.0,0.0,0.0,-3.0,0.2222222222222222,0.5555555555555556
abruptli,1.0,2.0,0.0,6.2831391941654625e-06,9.344189920704762e-06,1.0,0.6666666666666666,0.3333333333333333
absenc,6.0,6.0,3.0,0.0,0.0,0.0,0.4,0.4
absent,0.0,1.0,2.0,0.0,4.672094960352381e-06,1.0,0.3333333333333333,0.0
absolut,1.0,1.0,2.0,0.0,0.0,0.0,0.25,0.25
absorb,2.0,2.0,5.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222
abstract,5.0,6.0,8.0,0.0,0.0,1.0,0.3157894736842105,0.2631578947368421
acceler,9.0,10.0,15.0,0.0,0.0,1.0,0.29411764705882354,0.2647058823529412
accentu,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
accept,1.0,0.0,3.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.25
access,11.0,19.0,23.0,0.0,0.0,8.0,0.3584905660377358,0.20754716981132076
accommod,3.0,5.0,3.0,0.0,0.0,2.0,0.45454545454545453,0.2727272727272727
accompani,3.0,4.0,2.0,0.0,0.0,1.0,0.4444444444444444,0.3333333333333333
accord,50.0,55.0,28.0,0.0,0.0,5.0,0.41353383458646614,0.37593984962406013
accordingli,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
account,96.0,89.0,98.0,0.0,0.0,-7.0,0.31448763250883394,0.3392226148409894
accrual,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
accumul,8.0,2.0,7.0,0.0,0.0,-6.0,0.11764705882352941,0.47058823529411764
accur,0.0,1.0,2.0,0.0,4.672094960352381e-06,1.0,0.3333333333333333,0.0
accuraci,1.0,0.0,0.0,1.70242365917242e-05,0.0,-1.0,0.0,1.0
achiev,3.0,4.0,2.0,0.0,0.0,1.0,0.4444444444444444,0.3333333333333333
acknowledg,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
acquir,1.0,1.0,0.0,3.1415695970827313e-06,4.672094960352381e-06,0.0,0.5,0.5
acquisit,7.0,3.0,2.0,0.0,0.0,-4.0,0.25,0.5833333333333334
across,18.0,15.0,23.0,0.0,0.0,-3.0,0.26785714285714285,0.32142857142857145
act,5.0,4.0,10.0,0.0,0.0,-1.0,0.21052631578947367,0.2631578947368421
action,3.0,3.0,5.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727
activ,189.0,177.0,177.0,0.0,0.0,-12.0,0.3259668508287293,0.34806629834254144
actual,5.0,7.0,0.0,2.513255677666185e-05,3.270466472246667e-05,2.0,0.5833333333333334,0.4166666666666667
