,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
abandon,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
abat,1.0,2.0,0.0,4.168333744956356e-06,1.2450331180802577e-05,1.0,0.6666666666666666,0.3333333333333333
abil,3.0,4.0,5.0,0.0,0.0,1.0,0.3333333333333333,0.25
abl,7.0,8.0,3.0,0.0,0.0,1.0,0.4444444444444444,0.3888888888888889
abnorm,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
abroad,1.0,1.0,0.0,4.168333744956356e-06,6.225165590401289e-06,0.0,0.5,0.5
abrupt,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
abruptli,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
absenc,3.0,2.0,5.0,0.0,0.0,-1.0,0.2,0.3
absent,2.0,1.0,0.0,1.2505001234869067e-05,6.225165590401289e-06,-1.0,0.3333333333333333,0.6666666666666666
absorb,3.0,3.0,7.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078
absorpt,1.0,0.0,1.0,8.336667489912712e-06,0.0,-1.0,0.0,0.5
abstract,2.0,2.0,5.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222
abund,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
academ,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
acceler,7.0,4.0,7.0,0.0,0.0,-3.0,0.2222222222222222,0.3888888888888889
accept,1.0,2.0,7.0,0.0,0.0,1.0,0.2,0.1
access,6.0,2.0,3.0,0.0,0.0,-4.0,0.18181818181818182,0.5454545454545454
accessori,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
accommod,1.0,5.0,0.0,4.168333744956356e-06,3.1125827952006445e-05,4.0,0.8333333333333334,0.16666666666666666
accompani,9.0,6.0,12.0,0.0,0.0,-3.0,0.2222222222222222,0.3333333333333333
accord,42.0,43.0,35.0,0.0,0.0,1.0,0.35833333333333334,0.35
accordingli,1.0,1.0,0.0,8.336667489912712e-06,6.225165590401289e-06,0.0,0.5,0.5
account,40.0,54.0,45.0,0.0,0.0,14.0,0.38848920863309355,0.28776978417266186
accumul,3.0,0.0,0.0,4.517658939232216e-05,0.0,-3.0,0.0,1.0
accur,1.0,4.0,0.0,4.168333744956356e-06,2.4900662361605155e-05,3.0,0.8,0.2
accuraci,1.0,0.0,1.0,4.168333744956356e-06,0.0,-1.0,0.0,0.5
achiev,5.0,1.0,3.0,0.0,0.0,-4.0,0.1111111111111111,0.5555555555555556
acknowledg,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
acquiesc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
across,13.0,11.0,26.0,0.0,0.0,-2.0,0.22,0.26
act,7.0,5.0,4.0,0.0,0.0,-2.0,0.3125,0.4375
action,2.0,1.0,1.0,0.0,0.0,-1.0,0.25,0.5
activ,22.0,24.0,12.0,0.0,0.0,2.0,0.41379310344827586,0.3793103448275862
actual,9.0,6.0,5.0,0.0,0.0,-3.0,0.3,0.45
actuari,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
acut,1.0,1.0,0.0,4.168333744956356e-06,6.225165590401289e-06,0.0,0.5,0.5
ad,3.0,3.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855
add,10.0,10.0,7.0,0.0,0.0,0.0,0.37037037037037035,0.37037037037037035
addit,21.0,16.0,22.0,0.0,0.0,-5.0,0.2711864406779661,0.3559322033898305
adequ,0.0,1.0,1.0,0.0,6.225165590401289e-06,1.0,0.5,0.0
adequaci,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
adjust,25.0,20.0,16.0,0.0,0.0,-5.0,0.32786885245901637,0.4098360655737705
administ,1.0,1.0,3.0,0.0,0.0,0.0,0.2,0.2
administr,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
adult,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
advanc,22.0,33.0,22.0,0.0,0.0,11.0,0.42857142857142855,0.2857142857142857
advantag,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.25
advers,2.0,3.0,0.0,1.2505001234869067e-05,1.8675496771203864e-05,1.0,0.6,0.4
advertis,2.0,1.0,1.0,0.0,0.0,-1.0,0.25,0.5
advic,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
aei,21.0,12.0,9.0,0.0,0.0,-9.0,0.2857142857142857,0.5
affect,24.0,33.0,36.0,0.0,0.0,9.0,0.3548387096774194,0.25806451612903225
aftermath,0.0,2.0,0.0,0.0,3.3734312915449675e-05,2.0,1.0,0.0
age,8.0,9.0,15.0,0.0,0.0,1.0,0.28125,0.25
agenc,3.0,5.0,9.0,0.0,0.0,2.0,0.29411764705882354,0.17647058823529413
agent,78.0,76.0,36.0,0.0,0.0,-2.0,0.4,0.4105263157894737
aggreg,19.0,22.0,16.0,0.0,0.0,3.0,0.38596491228070173,0.3333333333333333
aggress,3.0,0.0,0.0,4.517658939232216e-05,0.0,-3.0,0.0,1.0
