,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
ab,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
abat,3.0,5.0,5.0,0.0,0.0,2.0,0.38461538461538464,0.23076923076923078
abcp,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
abil,11.0,6.0,7.0,0.0,0.0,-5.0,0.25,0.4583333333333333
abl,12.0,7.0,14.0,0.0,0.0,-5.0,0.21212121212121213,0.36363636363636365
abnorm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
abolit,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
abroad,13.0,11.0,8.0,0.0,0.0,-2.0,0.34375,0.40625
abrupt,7.0,10.0,9.0,0.0,0.0,3.0,0.38461538461538464,0.2692307692307692
abruptli,0.0,3.0,0.0,0.0,2.850697584511337e-05,3.0,1.0,0.0
absenc,11.0,10.0,11.0,0.0,0.0,-1.0,0.3125,0.34375
absent,2.0,1.0,2.0,0.0,0.0,-1.0,0.2,0.4
absolut,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
absorb,13.0,9.0,36.0,0.0,0.0,-4.0,0.15517241379310345,0.22413793103448276
absorpt,0.0,1.0,11.0,0.0,3.5070255333628336e-06,1.0,0.08333333333333333,0.0
abstract,4.0,5.0,4.0,0.0,0.0,1.0,0.38461538461538464,0.3076923076923077
abund,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
acceler,13.0,9.0,12.0,0.0,0.0,-4.0,0.2647058823529412,0.38235294117647056
accentu,1.0,2.0,0.0,2.4674391034341454e-06,7.014051066725667e-06,1.0,0.6666666666666666,0.3333333333333333
accept,4.0,4.0,0.0,1.4804634620604874e-05,1.4028102133451334e-05,0.0,0.5,0.5
access,1.0,5.0,9.0,0.0,0.0,4.0,0.3333333333333333,0.06666666666666667
accommod,11.0,26.0,14.0,0.0,0.0,15.0,0.5098039215686274,0.21568627450980393
accompani,11.0,18.0,21.0,0.0,0.0,7.0,0.36,0.22
accord,3.0,7.0,8.0,0.0,0.0,4.0,0.3888888888888889,0.16666666666666666
accordingli,1.0,4.0,2.0,0.0,0.0,3.0,0.5714285714285714,0.14285714285714285
account,35.0,41.0,34.0,0.0,0.0,6.0,0.37272727272727274,0.3181818181818182
accumul,5.0,18.0,5.0,0.0,0.0,13.0,0.6428571428571429,0.17857142857142858
accur,0.0,1.0,1.0,0.0,3.5070255333628336e-06,1.0,0.5,0.0
accuraci,0.0,1.0,1.0,0.0,3.5070255333628336e-06,1.0,0.5,0.0
achiev,25.0,16.0,26.0,0.0,0.0,-9.0,0.23880597014925373,0.373134328358209
acknowledg,4.0,3.0,2.0,0.0,0.0,-1.0,0.3333333333333333,0.4444444444444444
acquir,0.0,2.0,1.0,0.0,7.014051066725667e-06,2.0,0.6666666666666666,0.0
acquisit,0.0,1.0,1.0,0.0,3.5070255333628336e-06,1.0,0.5,0.0
across,13.0,4.0,29.0,0.0,0.0,-9.0,0.08695652173913043,0.2826086956521739
act,20.0,15.0,19.0,0.0,0.0,-5.0,0.2777777777777778,0.37037037037037035
