,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
abandon,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
abat,2.0,1.0,2.0,0.0,0.0,-1.0,0.2,0.4
abil,5.0,4.0,7.0,0.0,0.0,-1.0,0.25,0.3125
abl,2.0,4.0,0.0,1.4008479678795145e-05,2.392788110958063e-05,2.0,0.6666666666666666,0.3333333333333333
abnorm,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
abroad,0.0,1.0,0.0,0.0,1.6208216011130974e-05,1.0,1.0,0.0
abrupt,1.0,1.0,0.0,4.669493226265048e-06,5.981970277395157e-06,0.0,0.5,0.5
abruptli,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
absenc,5.0,3.0,2.0,0.0,0.0,-2.0,0.3,0.5
absent,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
absorb,0.0,1.0,0.0,0.0,1.6208216011130974e-05,1.0,1.0,0.0
abstract,1.0,0.0,2.0,4.669493226265048e-06,0.0,-1.0,0.0,0.3333333333333333
academ,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
acceler,7.0,11.0,2.0,0.0,0.0,4.0,0.55,0.35
accentu,2.0,0.0,0.0,3.7956133864362846e-05,0.0,-2.0,0.0,1.0
accept,1.0,2.0,0.0,4.669493226265048e-06,1.1963940554790314e-05,1.0,0.6666666666666666,0.3333333333333333
access,0.0,2.0,6.0,0.0,1.1963940554790314e-05,2.0,0.25,0.0
accommod,2.0,3.0,4.0,0.0,0.0,1.0,0.3333333333333333,0.2222222222222222
accompani,1.0,7.0,6.0,0.0,0.0,6.0,0.5,0.07142857142857142
accord,24.0,22.0,22.0,0.0,0.0,-2.0,0.3235294117647059,0.35294117647058826
accordingli,2.0,0.0,0.0,2.5304089242908565e-05,0.0,-2.0,0.0,1.0
account,49.0,46.0,43.0,0.0,0.0,-3.0,0.3333333333333333,0.35507246376811596
accru,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
accumul,3.0,5.0,0.0,1.8677972905060193e-05,2.9909851386975786e-05,2.0,0.625,0.375
accur,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
accuraci,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
achiev,2.0,3.0,4.0,0.0,0.0,1.0,0.3333333333333333,0.2222222222222222
acknowledg,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
acquisit,2.0,1.0,0.0,9.338986452530096e-06,5.981970277395157e-06,-1.0,0.3333333333333333,0.6666666666666666
across,23.0,31.0,30.0,0.0,0.0,8.0,0.36904761904761907,0.27380952380952384
act,2.0,6.0,9.0,0.0,0.0,4.0,0.35294117647058826,0.11764705882352941
action,9.0,11.0,7.0,0.0,0.0,2.0,0.4074074074074074,0.3333333333333333
activ,182.0,191.0,224.0,0.0,0.0,9.0,0.31993299832495814,0.304857621440536
actual,4.0,1.0,2.0,0.0,0.0,-3.0,0.14285714285714285,0.5714285714285714
acut,1.0,1.0,2.0,0.0,0.0,0.0,0.25,0.25
ad,5.0,8.0,2.0,0.0,0.0,3.0,0.5333333333333333,0.3333333333333333
add,1.0,3.0,4.0,0.0,0.0,2.0,0.375,0.125
addit,20.0,21.0,17.0,0.0,0.0,1.0,0.3620689655172414,0.3448275862068966
address,0.0,4.0,2.0,0.0,2.392788110958063e-05,4.0,0.6666666666666666,0.0
adequ,0.0,2.0,0.0,0.0,3.241643202226195e-05,2.0,1.0,0.0
adjust,23.0,21.0,19.0,0.0,0.0,-2.0,0.3333333333333333,0.36507936507936506
administ,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
administr,5.0,2.0,4.0,0.0,0.0,-3.0,0.18181818181818182,0.45454545454545453
admittedli,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
advanc,25.0,20.0,47.0,0.0,0.0,-5.0,0.21739130434782608,0.2717391304347826
advers,8.0,17.0,22.0,0.0,0.0,9.0,0.3617021276595745,0.1702127659574468
affair,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
affect,42.0,40.0,34.0,0.0,0.0,-2.0,0.3448275862068966,0.3620689655172414
affili,2.0,0.0,0.0,2.5304089242908565e-05,0.0,-2.0,0.0,1.0
affirm,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
afford,0.0,1.0,4.0,0.0,5.981970277395157e-06,1.0,0.2,0.0
afghanistan,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
africa,3.0,3.0,2.0,0.0,0.0,0.0,0.375,0.375
aftermath,1.0,2.0,2.0,0.0,0.0,1.0,0.4,0.2
age,1.0,2.0,0.0,4.669493226265048e-06,1.1963940554790314e-05,1.0,0.6666666666666666,0.3333333333333333
agenc,3.0,2.0,2.0,0.0,0.0,-1.0,0.2857142857142857,0.42857142857142855
agent,2.0,2.0,0.0,1.4008479678795145e-05,1.1963940554790314e-05,0.0,0.5,0.5
aggrav,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
aggreg,16.0,17.0,9.0,0.0,0.0,1.0,0.40476190476190477,0.38095238095238093
aggress,2.0,0.0,0.0,2.5304089242908565e-05,0.0,-2.0,0.0,1.0
ago,12.0,15.0,6.0,0.0,0.0,3.0,0.45454545454545453,0.36363636363636365
agre,17.0,12.0,30.0,0.0,0.0,-5.0,0.2033898305084746,0.288135593220339
agreement,9.0,3.0,19.0,0.0,0.0,-6.0,0.0967741935483871,0.2903225806451613
agricultur,10.0,5.0,22.0,0.0,0.0,-5.0,0.13513513513513514,0.2702702702702703
ahead,15.0,16.0,11.0,0.0,0.0,1.0,0.38095238095238093,0.35714285714285715
aid,0.0,1.0,2.0,0.0,5.981970277395157e-06,1.0,0.3333333333333333,0.0
aim,0.0,1.0,7.0,0.0,5.981970277395157e-06,1.0,0.125,0.0
air,1.0,1.0,2.0,0.0,0.0,0.0,0.25,0.25
aircraft,2.0,1.0,4.0,0.0,0.0,-1.0,0.14285714285714285,0.2857142857142857
airlin,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
akin,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
alaska,0.0,1.0,0.0,0.0,1.6208216011130974e-05,1.0,1.0,0.0
albeit,3.0,14.0,9.0,0.0,0.0,11.0,0.5384615384615384,0.11538461538461539
alcohol,1.0,1.0,2.0,0.0,0.0,0.0,0.25,0.25
allevi,1.0,0.0,0.0,1.2652044621454283e-05,0.0,-1.0,0.0,1.0
alloc,2.0,0.0,0.0,2.5304089242908565e-05,0.0,-2.0,0.0,1.0
allow,3.0,2.0,4.0,0.0,0.0,-1.0,0.2222222222222222,0.3333333333333333
almost,7.0,18.0,13.0,0.0,0.0,11.0,0.47368421052631576,0.18421052631578946
alon,1.0,2.0,0.0,4.669493226265048e-06,1.1963940554790314e-05,1.0,0.6666666666666666,0.3333333333333333
along,2.0,1.0,2.0,0.0,0.0,-1.0,0.2,0.4
alongsid,8.0,3.0,6.0,0.0,0.0,-5.0,0.17647058823529413,0.47058823529411764
