"Date","Value"
"31-01-1999","3.1321"
"28-02-1999","3.0934"
"31-03-1999","3.0467"
"30-04-1999","2.6732"
"31-05-1999","2.5788"
"30-06-1999","2.6267"
"31-07-1999","2.6765"
"31-08-1999","2.6952"
"30-09-1999","2.729"
"31-10-1999","3.3737"
"30-11-1999","3.4675"
"31-12-1999","3.4457"
"31-01-2000","3.3462"
"29-02-2000","3.5368"
"31-03-2000","3.7489"
"30-04-2000","3.9253"
"31-05-2000","4.3602"
"30-06-2000","4.5017"
"31-07-2000","4.5829"
"31-08-2000","4.7714"
"30-09-2000","4.8521"
"31-10-2000","5.0811"
"30-11-2000","5.0907"
"31-12-2000","4.9385"
"31-01-2001","4.7713"
"28-02-2001","4.7558"
"31-03-2001","4.7086"
"30-04-2001","4.682"
"31-05-2001","4.6396"
"30-06-2001","4.4536"
"31-07-2001","4.4677"
"31-08-2001","4.3568"
"30-09-2001","3.984"
"31-10-2001","3.6868"
"30-11-2001","3.3846"
"31-12-2001","3.3409"
"31-01-2002","3.3388"
"28-02-2002","3.357"
"31-03-2002","3.3908"
"30-04-2002","3.4069"
"31-05-2002","3.4657"
"30-06-2002","3.4696"
"31-07-2002","3.41"
"31-08-2002","3.3511"
"30-09-2002","3.3101"
"31-10-2002","3.2613"
"30-11-2002","3.1241"
"31-12-2002","2.9385"
"31-01-2003","2.8318"
"28-02-2003","2.6875"
"31-03-2003","2.53"
"30-04-2003","2.5334"
"31-05-2003","2.4046"
"30-06-2003","2.1519"
"31-07-2003","2.13"
"31-08-2003","2.1401"
"30-09-2003","2.1473"
"31-10-2003","2.1436"
"30-11-2003","2.1593"
"31-12-2003","2.1461"
"31-01-2004","2.0897"
"29-02-2004","2.0706"
"31-03-2004","2.0288"
"30-04-2004","2.0488"
"31-05-2004","2.0865"
"30-06-2004","2.1125"
"31-07-2004","2.116"
"31-08-2004","2.1142"
"30-09-2004","2.1185"
"31-10-2004","2.1473"
"30-11-2004","2.1703"
"31-12-2004","2.1727"
"31-01-2005","2.145"
"28-02-2005","2.1384"
"31-03-2005","2.1372"
"30-04-2005","2.1372"
"31-05-2005","2.1257"
"30-06-2005","2.111"
"31-07-2005","2.1194"
"31-08-2005","2.1325"
"30-09-2005","2.1391"
"31-10-2005","2.1966"
"30-11-2005","2.3609"
