"Date","Value"
"31-01-1995","6.3483"
"28-02-1995","6.2813"
"31-03-1995","6.269"
"30-04-1995","6.2396"
"31-05-1995","6.122"
"30-06-1995","6.0057"
"31-07-1995","5.9048"
"31-08-1995","5.8949"
"30-09-1995","5.8264"
"31-10-1995","5.9291"
"30-11-1995","5.8577"
"31-12-1995","5.7468"
"31-01-1996","5.5182"
"29-02-1996","5.2529"
"31-03-1996","5.4243"
"30-04-1996","5.493"
"31-05-1996","5.469"
"30-06-1996","5.5575"
"31-07-1996","5.6278"
"31-08-1996","5.5005"
"30-09-1996","5.6043"
"31-10-1996","5.5213"
"30-11-1996","5.51"
"31-12-1996","5.5855"
"31-01-1997","5.5809"
"28-02-1997","5.495"
"31-03-1997","5.6168"
"30-04-1997","5.8041"
"31-05-1997","5.8075"
"30-06-1997","5.7681"
"31-07-1997","5.7139"
"31-08-1997","5.6905"
"30-09-1997","5.675"
"31-10-1997","5.7348"
"30-11-1997","5.8325"
"31-12-1997","5.8738"
"31-01-1998","5.6438"
"28-02-1998","5.685"
"31-03-1998","5.6295"
"30-04-1998","5.648"
"31-05-1998","5.6632"
"30-06-1998","5.6695"
"31-07-1998","5.6422"
"31-08-1998","5.6345"
"30-09-1998","5.4714"
"31-10-1998","5.2618"
"30-11-1998","5.3105"
"31-12-1998","5.229"
"31-01-1999","4.984"
"28-02-1999","4.9815"
"31-03-1999","4.99"
"30-04-1999","4.953"
"31-05-1999","4.9889"
"30-06-1999","5.1805"
"31-07-1999","5.3077"
"31-08-1999","5.4633"
"30-09-1999","5.5655"
"31-10-1999","6.1971"
"30-11-1999","6.0968"
"31-12-1999","6.15"
"31-01-2000","6.037"
"29-02-2000","6.09"
"31-03-2000","6.2004"
"30-04-2000","6.3361"
"31-05-2000","6.7633"
"30-06-2000","6.8105"
"31-07-2000","6.7471"
"31-08-2000","6.6955"
"30-09-2000","6.6871"
"31-10-2000","6.7586"
"30-11-2000","6.7355"
"31-12-2000","6.5389"
"31-01-2001","5.7114"
"28-02-2001","5.3435"
"31-03-2001","4.9723"
"30-04-2001","4.6132"
"31-05-2001","4.0971"
"30-06-2001","3.8138"
"31-07-2001","3.7505"
"31-08-2001","3.5745"
"30-09-2001","3.015"
"31-10-2001","2.4017"
"30-11-2001","2.1036"
"31-12-2001","1.9168"
"31-01-2002","1.8241"
"28-02-2002","1.9065"
"31-03-2002","1.998"
"30-04-2002","1.97"
"31-05-2002","1.9073"
"30-06-2002","1.8878"
"31-07-2002","1.8539"
"31-08-2002","1.7886"
"30-09-2002","1.8124"
"31-10-2002","1.7935"
"30-11-2002","1.4795"
"31-12-2002","1.423"
"31-01-2003","1.3614"
"28-02-2003","1.338"
"31-03-2003","1.2862"
"30-04-2003","1.304"
"31-05-2003","1.2865"
"30-06-2003","1.1076"
"31-07-2003","1.1161"
"31-08-2003","1.136"
"30-09-2003","1.1441"
"31-10-2003","1.1635"
"30-11-2003","1.168"
"31-12-2003","1.1667"
"31-01-2004","1.1229"
"29-02-2004","1.112"
"31-03-2004","1.1052"
"30-04-2004","1.14"
"31-05-2004","1.25"
"30-06-2004","1.5023"
"31-07-2004","1.6268"
"31-08-2004","1.7395"
"30-09-2004","1.9309"
"31-10-2004","2.0952"
"30-11-2004","2.3209"
"31-12-2004","2.5086"
"31-01-2005","2.6675"
"28-02-2005","2.8345"
"31-03-2005","3.0255"
"30-04-2005","3.1519"
"31-05-2005","3.2725"
"30-06-2005","3.4389"
"31-07-2005","3.6076"
"31-08-2005","3.8182"
"30-09-2005","3.9205"
"31-10-2005","4.181"
"30-11-2005","4.3614"
"31-12-2005","4.502"
"31-01-2006","4.611"
"28-02-2006","4.7755"
"31-03-2006","4.937"
"30-04-2006","5.0756"
"31-05-2006","5.1924"
"30-06-2006","5.385"
"31-07-2006","5.5"
"31-08-2006","5.4114"
"30-09-2006","5.3757"
"31-10-2006","5.3764"
"30-11-2006","5.3773"
"31-12-2006","5.3579"
"31-01-2007","5.3586"
"28-02-2007","5.3705"
"31-03-2007","5.3505"
"30-04-2007","5.3563"
"31-05-2007","5.3557"
"30-06-2007","5.3629"
"31-07-2007","5.3682"
"31-08-2007","5.5055"
"30-09-2007","5.575"
"31-10-2007","5.1748"
"30-11-2007","5.0227"
"31-12-2007","5.0668"
"31-01-2008","3.9309"
"29-02-2008","3.1148"
"31-03-2008","2.8605"
"30-04-2008","3.0645"
"31-05-2008","2.914"
"30-06-2008","2.9876"
"31-07-2008","3.0513"
"31-08-2008","3.046"
"30-09-2008","3.7968"
"31-10-2008","4.9796"
"30-11-2008","3.4925"
