"Date","Value"
"31-01-1997","6.1416"
"28-02-1997","6.0913"
"31-03-1997","6.0389"
"30-04-1997","6.1086"
"31-05-1997","6.3043"
"30-06-1997","6.4993"
"31-07-1997","6.7602"
"31-08-1997","7.0638"
"30-09-1997","7.0982"
"31-10-1997","7.1446"
"30-11-1997","7.3765"
"31-12-1997","7.4412"
"31-01-1998","7.38"
"28-02-1998","7.4306"
"31-03-1998","7.4377"
"30-04-1998","7.3959"
"31-05-1998","7.3742"
"30-06-1998","7.4817"
"31-07-1998","7.5089"
"31-08-1998","7.6128"
"30-09-1998","7.4198"
"31-10-1998","7.3402"
"30-11-1998","6.9286"
"31-12-1998","6.5364"
"31-01-1999","5.9945"
"28-02-1999","5.5888"
"31-03-1999","5.4011"
"30-04-1999","5.2643"
"31-05-1999","5.2863"
"30-06-1999","5.097"
"31-07-1999","5.0416"
"31-08-1999","5.07"
"30-09-1999","5.1314"
"31-10-1999","5.3267"
"30-11-1999","5.3264"
"31-12-1999","5.6373"
"31-01-2000","5.7627"
"29-02-2000","6.0597"
"31-03-2000","5.9733"
"30-04-2000","5.9932"
"31-05-2000","6.0686"
"30-06-2000","6.0149"
"31-07-2000","5.9918"
"31-08-2000","5.9908"
"30-09-2000","6.0134"
"31-10-2000","5.9957"
"30-11-2000","5.9512"
"31-12-2000","5.8742"
"31-01-2001","5.8502"
"28-02-2001","5.7305"
"31-03-2001","5.566"
"30-04-2001","5.3843"
"31-05-2001","5.2089"
"30-06-2001","5.1429"
"31-07-2001","5.1607"
"31-08-2001","4.9205"
"30-09-2001","4.7266"
"31-10-2001","4.4369"
"30-11-2001","3.9183"
"31-12-2001","3.986"
"31-01-2002","3.9482"
"28-02-2002","3.9453"
"31-03-2002","4.0055"
"30-04-2002","4.0551"
"31-05-2002","3.9268"
"30-06-2002","3.9149"
"31-07-2002","3.8438"
"31-08-2002","3.9018"
"30-09-2002","3.9152"
"31-10-2002","3.9042"
"30-11-2002","3.8817"
"31-12-2002","3.9415"
"31-01-2003","3.905"
"28-02-2003","3.703"
"31-03-2003","3.6262"
"30-04-2003","3.6148"
"31-05-2003","3.597"
"30-06-2003","3.6062"
"31-07-2003","3.4154"
"31-08-2003","3.4095"
"30-09-2003","3.5948"
"31-10-2003","3.6011"
"30-11-2003","3.747"
"31-12-2003","3.8207"
"31-01-2004","3.8381"
"29-02-2004","4.0165"
"31-03-2004","4.0885"
"30-04-2004","4.129"
"31-05-2004","4.3453"
"30-06-2004","4.508"
"31-07-2004","4.5716"
"31-08-2004","4.7817"
"30-09-2004","4.7868"
"31-10-2004","4.7643"
"30-11-2004","4.757"
"31-12-2004","4.7745"
"31-01-2005","4.7703"
"28-02-2005","4.7708"
"31-03-2005","4.8005"
"30-04-2005","4.8012"
"31-05-2005","4.7938"
"30-06-2005","4.7741"
"31-07-2005","4.6738"
"31-08-2005","4.535"
"30-09-2005","4.5343"
"31-10-2005","4.5202"
"30-11-2005","4.528"
"31-12-2005","4.5775"
"31-01-2006","4.5298"
"28-02-2006","4.51"
"31-03-2006","4.5115"
"30-04-2006","4.5294"
"31-05-2006","4.6017"
"30-06-2006","4.6305"
"31-07-2006","4.6048"
"31-08-2006","4.8243"
"30-09-2006","4.8693"
"31-10-2006","4.92"
"30-11-2006","5.0832"
"31-12-2006","5.1984"
"31-01-2007","5.3002"
"28-02-2007","5.3845"
"31-03-2007","5.3923"
"30-04-2007","5.4303"
"31-05-2007","5.6031"
"30-06-2007","5.67"
"31-07-2007","5.8633"
"31-08-2007","6.2195"
"30-09-2007","6.4108"
"31-10-2007","6.0107"
"30-11-2007","5.9377"
"31-12-2007","6.4258"
"31-01-2008","5.5727"
"29-02-2008","5.5014"
"31-03-2008","5.6605"
"30-04-2008","5.5295"
"31-05-2008","5.4285"
"30-06-2008","5.4655"
"31-07-2008","5.3841"
"31-08-2008","5.35"
"30-09-2008","5.5691"
"31-10-2008","5.9533"
"30-11-2008","3.8475"
"31-12-2008","2.5155"
"31-01-2009","1.714"
"28-02-2009","1.4635"
"31-03-2009","1.1659"
"30-04-2009","0.8825"
"31-05-2009","0.7"
"30-06-2009","0.6216"
