"Date","Monthly average Sterling 1 year, mean interbank lending rate              [a] [b] [c]             IUMAVYRA"
"30 Nov 17","0.7723"
"31 Oct 17","0.7375"
"30 Sep 17","0.6645"
"31 Aug 17","0.6441"
"31 Jul 17","0.6612"
"30 Jun 17","0.6441"
"31 May 17","0.6669"
"30 Apr 17","0.6894"
"31 Mar 17","0.6907"
"28 Feb 17","0.7298"
"31 Jan 17","0.7583"
"31 Dec 16","0.7815"
"30 Nov 16","0.79"
"31 Oct 16","0.774"
"30 Sep 16","0.7309"
"31 Aug 16","0.8593"
"31 Jul 16","0.9002"
"30 Jun 16","0.992"
"31 May 16","1.0175"
"30 Apr 16","1.0183"
"31 Mar 16","1.015"
"29 Feb 16","1.0198"
"31 Jan 16","1.0508"
"31 Dec 15","1.0581"
"30 Nov 15","1.0545"
"31 Oct 15","1.0568"
"30 Sep 15","1.065"
"31 Aug 15","1.065"
"31 Jul 15","1.0552"
"30 Jun 15","1.0473"
"31 May 15","1.05"
"30 Apr 15","1.05"
"31 Mar 15","1.0493"
"28 Feb 15","1.0308"
"31 Jan 15","1.0283"
"31 Dec 14","1.035"
"30 Nov 14","1.0405"
"31 Oct 14","1.0583"
"30 Sep 14","1.0618"
"31 Aug 14","1.0168"
"31 Jul 14","0.9828"
"30 Jun 14","0.9631"
"31 May 14","0.946"
"30 Apr 14","0.8813"
"31 Mar 14","0.8669"
"28 Feb 14","0.8448"
"31 Jan 14","0.83"
"31 Dec 13","0.8455"
"30 Nov 13","0.8664"
"31 Oct 13","0.865"
"30 Sep 13","0.8612"
"31 Aug 13","0.8448"
"31 Jul 13","0.845"
"30 Jun 13","0.833"
"31 May 13","0.83"
"30 Apr 13","0.8529"
"31 Mar 13","0.88"
"28 Feb 13","0.93"
"31 Jan 13","0.953"
"31 Dec 12","1.01"
"30 Nov 12","1.0532"
"31 Oct 12","1.1748"
"30 Sep 12","1.3615"
"31 Aug 12","1.4605"
"31 Jul 12","1.6575"
"30 Jun 12","1.7847"
"31 May 12","1.8584"
"30 Apr 12","1.8887"
"31 Mar 12","1.9016"
"29 Feb 12","1.9314"
"31 Jan 12","1.9329"
"31 Dec 11","1.8763"
"30 Nov 11","1.8373"
"31 Oct 11","1.7838"
"30 Sep 11","1.7275"
"31 Aug 11","1.635"
"31 Jul 11","1.575"
"30 Jun 11","1.5636"
