"title","link","date","tag"
"Monetary Policy Report and Interim Financial Stability Report - May 2020","https://www.bankofengland.co.uk/report/2020/monetary-policy-report-financial-stability-report-may-2020","07 May 2020","// Publication // Report"
"Monetary Policy Report - January 2020","https://www.bankofengland.co.uk/monetary-policy-report/2020/january-2020","30 January 2020","// Publication // Monetary Policy Report (MPR)"
"Monetary Policy Report - November 2019","https://www.bankofengland.co.uk/monetary-policy-report/2019/november-2019","07 November 2019","// Publication // Monetary Policy Report (MPR)"
"Visual summary - Inflation Report August 2019","https://www.bankofengland.co.uk/inflation-report/2019/august-2019/visual-summary","01 August 2019","// Publication // Inflation Report (IR)"
"Inflation Report - August 2019","https://www.bankofengland.co.uk/inflation-report/2019/august-2019","01 August 2019","// Publication // Inflation Report (IR)"
"Visual summary - Inflation Report May 2019","https://www.bankofengland.co.uk/inflation-report/2019/may-2019/visual-summary","02 May 2019","// Publication // Inflation Report (IR)"
"Inflation Report - May 2019","https://www.bankofengland.co.uk/inflation-report/2019/may-2019","02 May 2019","// Publication // Inflation Report (IR)"
"Visual summary - Inflation Report February 2019","https://www.bankofengland.co.uk/inflation-report/2019/february-2019/visual-summary","07 February 2019","// Publication // Inflation Report (IR)"
"Inflation Report - February 2019","https://www.bankofengland.co.uk/inflation-report/2019/february-2019","07 February 2019","// Publication // Inflation Report (IR)"
"Visual summary - Inflation Report November 2018","https://www.bankofengland.co.uk/inflation-report/2018/november-2018/visual-summary","01 November 2018","// Publication // Inflation Report (IR)"
"Inflation Report - November 2018","https://www.bankofengland.co.uk/inflation-report/2018/november-2018","01 November 2018","// Publication // Inflation Report (IR)"
"Visual summary - Inflation Report August 2018","https://www.bankofengland.co.uk/inflation-report/2018/august-2018/visual-summary","02 August 2018","// Publication // Inflation Report (IR)"
"Inflation Report - August 2018","https://www.bankofengland.co.uk/inflation-report/2018/august-2018","02 August 2018","// Publication // Inflation Report (IR)"
"Visual summary - Inflation Report May 2018","https://www.bankofengland.co.uk/inflation-report/2018/may-2018/visual-summary","10 May 2018","// Publication // Inflation Report (IR)"
"Inflation Report - May 2018","https://www.bankofengland.co.uk/inflation-report/2018/may-2018","10 May 2018","// Publication // Inflation Report (IR)"
"Inflation Report - February 2018","https://www.bankofengland.co.uk/inflation-report/2018/february-2018","08 February 2018","// Publication // Inflation Report (IR)"
"Visual summary - Inflation Report February 2018","https://www.bankofengland.co.uk/inflation-report/2018/february-2018/visual-summary","08 February 2018","// Publication // Inflation Report (IR)"
"Inflation Report - November 2017","https://www.bankofengland.co.uk/inflation-report/2017/november-2017","02 November 2017","// Publication // Inflation Report (IR)"
"Inflation Report November 2017 - Visual summary","https://www.bankofengland.co.uk/inflation-report/2017/november-2017-visual-summary","02 November 2017","// Publication // Inflation Report (IR)"
"Inflation Report - August 2017","https://www.bankofengland.co.uk/inflation-report/2017/aug-2017","03 August 2017","// Publication // Inflation Report (IR)"
"Inflation Report, May 2017","https://www.bankofengland.co.uk/inflation-report/2017/may-2017","11 May 2017","// Publication // Inflation Report (IR)"
"Inflation Report, February 2017","https://www.bankofengland.co.uk/inflation-report/2017/february-2017","02 February 2017","// Publication // Inflation Report (IR)"
"Inflation Report, November 2016","https://www.bankofengland.co.uk/inflation-report/2016/november-2016","03 November 2016","// Publication // Inflation Report (IR)"
"Inflation Report, August 2016","https://www.bankofengland.co.uk/inflation-report/2016/august-2016","04 August 2016","// Publication // Inflation Report (IR)"
"Inflation Report, May 2016","https://www.bankofengland.co.uk/inflation-report/2016/may-2016","12 May 2016","// Publication // Inflation Report (IR)"
"Inflation Report, February 2016","https://www.bankofengland.co.uk/inflation-report/2016/february-2016","04 February 2016","// Publication // Inflation Report (IR)"
"Inflation Report, November 2015","https://www.bankofengland.co.uk/inflation-report/2015/november-2015","05 November 2015","// Publication // Inflation Report (IR)"
"Inflation Report - August 2015","https://www.bankofengland.co.uk/inflation-report/2015/august-2015","06 August 2015","// Publication // Inflation Report (IR)"
"Inflation Report, May 2015","https://www.bankofengland.co.uk/inflation-report/2015/may-2015","13 May 2015","// Publication // Inflation Report (IR)"
"Inflation Report, February 2015","https://www.bankofengland.co.uk/inflation-report/2015/february-2015","12 February 2015","// Publication // Inflation Report (IR)"
"Inflation Report - November 2014","https://www.bankofengland.co.uk/inflation-report/2014/november-2014","12 November 2014","// Publication // Inflation Report (IR)"
"Inflation Report - August 2014","https://www.bankofengland.co.uk/inflation-report/2014/august-2014","13 August 2014","// Publication // Inflation Report (IR)"
"Inflation Report - May 2014","https://www.bankofengland.co.uk/inflation-report/2014/may-2014","14 May 2014","// Publication // Inflation Report (IR)"
"Inflation Report - February 2014","https://www.bankofengland.co.uk/inflation-report/2014/february-2014","12 February 2014","// Publication // Inflation Report (IR)"
"Inflation Report - November 2013","https://www.bankofengland.co.uk/inflation-report/2013/november-2013","13 November 2013","// Publication // Inflation Report (IR)"
"Inflation Report - August 2013","https://www.bankofengland.co.uk/inflation-report/2013/august-2013","07 August 2013","// Publication // Inflation Report (IR)"
"Inflation Report - May 2013","https://www.bankofengland.co.uk/inflation-report/2013/may-2013","15 May 2013","// Publication // Inflation Report (IR)"
"Inflation Report - February 2013","https://www.bankofengland.co.uk/inflation-report/2013/february-2013","13 February 2013","// Publication // Inflation Report (IR)"
"Inflation Report - November 2012","https://www.bankofengland.co.uk/inflation-report/2012/november-2012","14 November 2012","// Publication // Inflation Report (IR)"
"Inflation Report - August 2012","https://www.bankofengland.co.uk/inflation-report/2012/august-2012","08 August 2012","// Publication // Inflation Report (IR)"
"Inflation Report - May 2012","https://www.bankofengland.co.uk/inflation-report/2012/may-2012","16 May 2012","// Publication // Inflation Report (IR)"
"Inflation Report - February 2012","https://www.bankofengland.co.uk/inflation-report/2012/february-2012","15 February 2012","// Publication // Inflation Report (IR)"
"Inflation Report - November 2011","https://www.bankofengland.co.uk/inflation-report/2011/november-2011","16 November 2011","// Publication // Inflation Report (IR)"
"Inflation Report - August 2011","https://www.bankofengland.co.uk/inflation-report/2011/august-2011","10 August 2011","// Publication // Inflation Report (IR)"
"Inflation Report - May 2011","https://www.bankofengland.co.uk/inflation-report/2011/may-2011","11 May 2011","// Publication // Inflation Report (IR)"
"Inflation Report - February 2011","https://www.bankofengland.co.uk/inflation-report/2011/february-2011","16 February 2011","// Publication // Inflation Report (IR)"
"Inflation Report - November 2010","https://www.bankofengland.co.uk/inflation-report/2010/november-2010","10 November 2010","// Publication // Inflation Report (IR)"
"Inflation Report - August 2010","https://www.bankofengland.co.uk/inflation-report/2010/august-2010","11 August 2010","// Publication // Inflation Report (IR)"
"Inflation Report - May 2010","https://www.bankofengland.co.uk/inflation-report/2010/may-2010","12 May 2010","// Publication // Inflation Report (IR)"
